"Name","Country","Traveler Type","Score","Score Explanation","Date","Pros","Cons","Response","Pros Original","Cons Original","Response Original"
"Peter","United Kingdom","Solo traveller","4.6","Disappointing","8 October 2014","Staff helpful and location OK","The bed was most uncomfortable and covered in some kind of plastic sheet! Also some paint would be good on the scuffed skirting boards.","","Staff helpful and location OK","The bed was most uncomfortable and covered in some kind of plastic sheet! Also some paint would be good on the scuffed skirting boards.","",
"Christina","Germany","Solo traveller","10","Exceptional","7 October 2014","Cleanliness
the bed was absolute comfortable","","","Cleanliness
the bed was absolute comfortable","","",
"Barry","U.S.A.","Couple","8.8","Fabulous","1 October 2014","Location near U-bahn and bus connections to city-center.  Good price for the quality.  Good breakfast.","Smell of fish market and restaurant nearby.","","Location near U-bahn and bus connections to city-center.  Good price for the quality.  Good breakfast.","Smell of fish market and restaurant nearby.","",
"Animesh","France","Couple","10","Exceptional","30 September 2014","Very helpful staff, nice room, excellent breakfast. The breakfast especially was very nutritious and delicious. Easily reachable by the U2 metro line.","Nothing.","","Very helpful staff, nice room, excellent breakfast. The breakfast especially was very nutritious and delicious. Easily reachable by the U2 metro line.","Nothing.","",
"Pieter-jan","Belgium","Solo traveller","8.3","Very good","30 September 2014","Helpful staff at reception desk
Comfortable beds
No noise of neighbors
Parking (free) at the hotel
Very good breakfast buffet","Internet is not so fast, but fast enough for e-mails","","Helpful staff at reception desk
Comfortable beds
No noise of neighbors
Parking (free) at the hotel
Very good breakfast buffet","Internet is not so fast, but fast enough for e-mails","",
"Peter","United Kingdom","Couple","8.3","Very good","29 September 2014","Convenient for U-bahn","","","Convenient for U-bahn","","",
"Nancee","U.S.A.","Couple","5","Passable","27 September 2014","It was clean. And a few people on the staff were cordial. The scrambled eggs in the chafing dish were almost stone cold. They only had  breakfast available, while Hamburg had all meals.","Most of the  staff was not very pleasant.Parking location above was not a convenience. And Having to walk up and down a 45 del ramp to
Get to and drop the car was not good.","","It was clean. And a few people on the staff were cordial. The scrambled eggs in the chafing dish were almost stone cold. They only had  breakfast available, while Hamburg had all meals.","Most of the  staff was not very pleasant.Parking location above was not a convenience. And Having to walk up and down a 45 del ramp to
Get to and drop the car was not good.","",
"Arild","Norway","Group of friends","10","Exceptional","23 September 2014","Clean and tidy.
Excellent staff, always smiling.
The location is excellent, close to the subway and bus stop.","Very poor free WiFi.","","Clean and tidy.
Excellent staff, always smiling.
The location is excellent, close to the subway and bus stop.","Very poor free WiFi.","",
"Elena","Russia","Group of friends","10","Exceptional","20 September 2014","The location, staff, breakfast were perfect.","","","The location, staff, breakfast were perfect.","","",
"Ginelle","Barbados","Solo traveller","8.3","Very good","16 September 2014","Overall a very convenient hotel with good service and clean rooms.","Somewhat far from Alexanderplatz","","Overall a very convenient hotel with good service and clean rooms.","Somewhat far from Alexanderplatz","",
"Hui","China","Solo traveller","7.1","Good","15 September 2014","the room is big and very clean , staffs are very friendly .","No really have anything that made me unhappy with Leonardo so far, It is very close to Mess ,very convenient for my work .","","the room is big and very clean , staffs are very friendly .","No really have anything that made me unhappy with Leonardo so far, It is very close to Mess ,very convenient for my work .","",
"Ondrej","Czech Republic","Couple","8.8","Fabulous","14 September 2014","Breakfast
Price per room
Dog friendly
Free wifi
Parking space behind the hotel","Weak wifi signal
Small parking place for bigger cars
Small bed for two","","Breakfast
Price per room
Dog friendly
Free wifi
Parking space behind the hotel","Weak wifi signal
Small parking place for bigger cars
Small bed for two","",
"Robert","United Kingdom","Couple","9.6","Exceptional","14 September 2014","The bedroom was very clean and modern.
The staff were very helpful.
There was plenty of choice for breakfast and the dining areas were spotlessly clean.","","","The bedroom was very clean and modern.
The staff were very helpful.
There was plenty of choice for breakfast and the dining areas were spotlessly clean.","","",
"Leonor","Portugal","Couple","8.8","Fabulous","6 September 2014","clean
value for money","","","clean
value for money","","",
"Lisa","Australia","Group of friends","9.6","Exceptional","31 August 2014","We had one receptionist in particular who we were lucky enough to talk to every time we needed information who was absolutely lovely, cheerful and accommodating.
The rooms were beautiful with excellent facilities. The shower was the highlight along with the super comfy beds. 
I was afraid there'd be no wifi from other reviews but there was free wifi 24/7! 
The location is conveniently next to a strip of cheap and delicious restaurants (especially Vietnamese) and also a cheap super market and underground station! 
Loved our stay here and highly recommend it to everyone!","Some of the other receptionists did not seem to like smiling...","","We had one receptionist in particular who we were lucky enough to talk to every time we needed information who was absolutely lovely, cheerful and accommodating.
The rooms were beautiful with excellent facilities. The shower was the highlight along with the super comfy beds. 
I was afraid there'd be no wifi from other reviews but there was free wifi 24/7! 
The location is conveniently next to a strip of cheap and delicious restaurants (especially Vietnamese) and also a cheap super market and underground station! 
Loved our stay here and highly recommend it to everyone!","Some of the other receptionists did not seem to like smiling...","",
"Terence","United Kingdom","Couple","7.5","Good","29 August 2014","Excellent breakfast
Convenient location
Most staff very helpful
Free internet access in lobby
Comfortable room","Maid service - several service items not done. Caught maid having a break in our room when she thought we had gone out. Had to personally find maid and request replacement towels even though we had left them on the floor as an obvious sign that we wanted them replaced - she had just put them back on the rail.","","Excellent breakfast
Convenient location
Most staff very helpful
Free internet access in lobby
Comfortable room","Maid service - several service items not done. Caught maid having a break in our room when she thought we had gone out. Had to personally find maid and request replacement towels even though we had left them on the floor as an obvious sign that we wanted them replaced - she had just put them back on the rail.","",
"Elena","Russia","Group of friends","9.6","Exceptional","26 August 2014","Location is great.Breakfast is perfect.The personnel is very attentive and friendly. The room has everything necessary for a short stay.","","","Location is great.Breakfast is perfect.The personnel is very attentive and friendly. The room has everything necessary for a short stay.","","",
"Nathalie","Brazil","Couple","8.8","Fabulous","26 August 2014","We really liked Leonardo Hotel, good cost benefits. 
Clean, comfortable and helpful staff.
Near the U2 and U7. Surrounded by good stores, markets and bakeries.","No wifi connection in the room. Too soft pillows.","","We really liked Leonardo Hotel, good cost benefits. 
Clean, comfortable and helpful staff.
Near the U2 and U7. Surrounded by good stores, markets and bakeries.","No wifi connection in the room. Too soft pillows.","",
"Myrna","United Arab Emirates","Group of friends","6.7","Pleasant","26 August 2014","located next to a metro station, which made our trip to different parts of Berlin much easier.
- breakfast was good.","room had no mini-bar or fridge
- the 2 single beds were next to each other, they might as well have put one queen sized bed instead.",""," located next to a metro station, which made our trip to different parts of Berlin much easier.
- breakfast was good."," room had no mini-bar or fridge
- the 2 single beds were next to each other, they might as well have put one queen sized bed instead.","",
"Remco","Netherlands","Family","9.6","Exceptional","21 August 2014","I went with my son (11) for work (only half a day work) and we enjoyed a few days around it for sightseeing in Berlin. Very interesting city, very, very good hotel with U Bahn around the corner.","It is a bit far from the center.","","I went with my son (11) for work (only half a day work) and we enjoyed a few days around it for sightseeing in Berlin. Very interesting city, very, very good hotel with U Bahn around the corner.","It is a bit far from the center.","",
"Chiayin","Taiwan","Group of friends","7.1","Good","20 August 2014","location
convenience.
internet.
decoration.","","","location
convenience.
internet.
decoration.","","",
"Isobel","United Kingdom","Group of friends","9.2","Superb","19 August 2014","Everything - great breakfasts - the choice and quality of bread in the morning - yummy!
Staff so helpful especially one young man at reception and I'm sorry I don't know his name but he helped us book our bus to Prague.  If you are reading this review - thank you so much.  I would definitely stay in a Leonardo Hotel again.","","","Everything - great breakfasts - the choice and quality of bread in the morning - yummy!
Staff so helpful especially one young man at reception and I'm sorry I don't know his name but he helped us book our bus to Prague.  If you are reading this review - thank you so much.  I would definitely stay in a Leonardo Hotel again.","","",
"Lai","Hong Kong","Group of friends","8.8","Fabulous","18 August 2014","Very clean and comfortable","Parking is difficult","","Very clean and comfortable","Parking is difficult","",
"John","United Kingdom","Group of friends","9.6","Exceptional","15 August 2014","AIR CONDITION WAS  EXCELLENT.BREAKFAST WAS GOOD","CARPARK ACCESS WAS POOR","","AIR CONDITION WAS  EXCELLENT.BREAKFAST WAS GOOD","CARPARK ACCESS WAS POOR","",
"Leonor","Portugal","Couple","8.3","Very good","13 August 2014","very clean. great value for money.","","","very clean. great value for money.","","",
"Ecem","Germany","Couple","9.6","Exceptional","12 August 2014","Perfect!","","","Perfect!","","",
"Chiayin","Taiwan","Group of friends","6.3","Pleasant","9 August 2014","location, near Zoologischer station at U2 Bahn.","Staffs in front of counter at evening. It seems like i bother them, not feeling welcomed.","","location, near Zoologischer station at U2 Bahn.","Staffs in front of counter at evening. It seems like i bother them, not feeling welcomed.","",
"Ketaki","Switzerland","Group of friends","7.1","Good","7 August 2014","The cleanliness of the hotel","No wi fi for me and when i approached them for help they said thats all we can do..","","The cleanliness of the hotel","No wi fi for me and when i approached them for help they said thats all we can do..","",
"Levs","United Kingdom","Couple","8.8","Fabulous","5 August 2014","The breakfast was amazing such a wide choice. The beds we're comfy is easy to find. Quite good location. Staff very helpful!","Shower was quite small.","","The breakfast was amazing such a wide choice. The beds we're comfy is easy to find. Quite good location. Staff very helpful!","Shower was quite small.","",
"Seyed","United Kingdom","Couple","10","Exceptional","31 July 2014","Best deal in Berlin for what you get
Friendly/professional staff
Modern/clean furniture
Comfy beds","Breakfast is too expensive (cheaper options are in cafes around)","","Best deal in Berlin for what you get
Friendly/professional staff
Modern/clean furniture
Comfy beds","Breakfast is too expensive (cheaper options are in cafes around)","",
"Amy","United Kingdom","Solo traveller","8.3","Very good","30 July 2014","Location
Staff","Wifi is NOT included and for such a reasonable hotel, surprisingly expensive.","","Location
Staff","Wifi is NOT included and for such a reasonable hotel, surprisingly expensive.","",
"Sasan","Belgium","Solo traveller","9.6","Exceptional","30 July 2014","","Expensive WiFi","","","Expensive WiFi","",
"Mark","Germany","Couple","10","Exceptional","27 July 2014","Close to eating and shopping. Very clean and staff very helpful.","Wifi wasn't strong enough for me to use in my room.","","Close to eating and shopping. Very clean and staff very helpful.","Wifi wasn't strong enough for me to use in my room.","",
"dmitrijs_savickis777","Latvia","Couple","9.6","Exceptional","27 July 2014","not so far from berlin center,  near to bismarkstrasse metro station about 60m, clean comfortable and compact room!!!! a lot of pubs around.......","hotels car parking was not available, actually it was full!!!","","not so far from berlin center,  near to bismarkstrasse metro station about 60m, clean comfortable and compact room!!!! a lot of pubs around.......","hotels car parking was not available, actually it was full!!!","",
"Isobel","United Kingdom","Group of friends","10","Exceptional","25 July 2014","Location was excellent. Short walk to the U and S bahn. We usually tavelled by S and once we got the hang of the ticket machines we were OFF!  Easy to get to Wansee, Potsdam etc.
Staff at hotel were friendly and helpful. Especially the young man at reception (sorry didn't get his name). Breakfast was most enjoyable - the bread selection was superb. Air conditioned rooms were spotlessly clean.
Would I stay at this hotel again ?  Yes, it was a pleasure.","There was nothing to dislike about this hotel but I didn't like the down and outs who were scattered around the city, occupying park benches and lying in public areas.","","Location was excellent. Short walk to the U and S bahn. We usually tavelled by S and once we got the hang of the ticket machines we were OFF!  Easy to get to Wansee, Potsdam etc.
Staff at hotel were friendly and helpful. Especially the young man at reception (sorry didn't get his name). Breakfast was most enjoyable - the bread selection was superb. Air conditioned rooms were spotlessly clean.
Would I stay at this hotel again ?  Yes, it was a pleasure.","There was nothing to dislike about this hotel but I didn't like the down and outs who were scattered around the city, occupying park benches and lying in public areas.","",
"Gabriel","U.S.A.","Solo traveller","9.2","Superb","24 July 2014","The room is very quiet, and comfortable.","Some of the night staff were not that pleasant to interact with.","","The room is very quiet, and comfortable.","Some of the night staff were not that pleasant to interact with.","",
"Anthony","United Kingdom","Solo traveller","10","Exceptional","22 July 2014","Right next to tube station with good links. Staff very helpful. Rooms were nice and cleaned regularly. Quiet location with good shops.","Nothing.","","Right next to tube station with good links. Staff very helpful. Rooms were nice and cleaned regularly. Quiet location with good shops.","Nothing.","",
"Rutvid","Germany","Couple","9.2","Superb","22 July 2014","everything!","No complaints!","","everything!","No complaints!","",
"Gabriel","U.S.A.","Couple","6.3","Pleasant","22 July 2014","","Front desk  people zero costumer service oriented","","","Front desk  people zero costumer service oriented","",
"Yaling","Taiwan","Solo traveller","8.8","Fabulous","21 July 2014","Everything is good! There is a supermarket near hotel, that is very convenient !","The fee for wifi is too expensive.","","Everything is good! There is a supermarket near hotel, that is very convenient !","The fee for wifi is too expensive.","",
"Sangeeta","Germany","Couple","6.7","Pleasant","20 July 2014","Breakfast was good.","The pillows in the room were uncofrtable.","","Breakfast was good.","The pillows in the room were uncofrtable.","",
"Jon","United Kingdom","Solo traveller","10","Exceptional","18 July 2014","The location is excellent - close enough to the centre to be convenient and yet far enough away not to be too busy. There is free internet at the hotel, though an internet cafe is just around the corner, open till the early hours. The river and Charlottenberg "castle" (with its extensive beautiful grounds free and safe to wander in) are perhaps ten minutes' walk away, and there are enough restaurants and cafes nearby to make eating out easy and a pleasure. I particularly recomment the Italian restuarant just opposite the hotel's entrance, and the cafe "Anker" near the Charlottenburg castle bridge. The Underground station Bismarckstrasse on the useful Pankow to Ruhleben line is metres away and has easy links elsewhere - go three stops citywards to the Zoological Gardens station where you can connect with many other routes. 
The hotel itself is clean and comfortable and the breakfast was truly excellent. All this, along with friendly, efficient and helpful staff made my stay here an extremely pleasant experience, and the Hotel is to be congratulated. I shall certainly aim to return next time I'm in Berlin.","","","The location is excellent - close enough to the centre to be convenient and yet far enough away not to be too busy. There is free internet at the hotel, though an internet cafe is just around the corner, open till the early hours. The river and Charlottenberg "castle" (with its extensive beautiful grounds free and safe to wander in) are perhaps ten minutes' walk away, and there are enough restaurants and cafes nearby to make eating out easy and a pleasure. I particularly recomment the Italian restuarant just opposite the hotel's entrance, and the cafe "Anker" near the Charlottenburg castle bridge. The Underground station Bismarckstrasse on the useful Pankow to Ruhleben line is metres away and has easy links elsewhere - go three stops citywards to the Zoological Gardens station where you can connect with many other routes. 
The hotel itself is clean and comfortable and the breakfast was truly excellent. All this, along with friendly, efficient and helpful staff made my stay here an extremely pleasant experience, and the Hotel is to be congratulated. I shall certainly aim to return next time I'm in Berlin.","","",
"GarryKInd","India","Solo traveller","8.3","Very good","17 July 2014","Location+Cleanliness+close to resturaunts+shops","No fee wi-fi + no refrigator in the room...would be a perfect place to stay if they had these amenities as well","","Location+Cleanliness+close to resturaunts+shops","No fee wi-fi + no refrigator in the room...would be a perfect place to stay if they had these amenities as well","",
"Iwona","U.S.A.","Couple","6.3","Pleasant","15 July 2014","LOCATION","2 beds very small, not too comfortable","","LOCATION","2 beds very small, not too comfortable","",
"Maik","Germany","Couple","7.5","Good","13 July 2014","Price-quality ratio of the modern, air-conditioned rooms. Clean rooms.","Personell was professional, but not all too warm. Breakfast is rather expensive. Very old-fashioned to ask a fee for using WI-FI.","","Price-quality ratio of the modern, air-conditioned rooms. Clean rooms.","Personell was professional, but not all too warm. Breakfast is rather expensive. Very old-fashioned to ask a fee for using WI-FI.","",
"Ray","New Zealand","Couple","7.9","Good","6 July 2014","Central location","No fridge in room, no tea/coffee, breakfast extra at the price.","","Central location","No fridge in room, no tea/coffee, breakfast extra at the price.","",
"Robley","U.S.A.","Solo traveller","8.8","Fabulous","6 July 2014","Nice location close to u-bahn. Many small restaurants nearby. everything clean and in order.","high charge for Internet connection.","","Nice location close to u-bahn. Many small restaurants nearby. everything clean and in order.","high charge for Internet connection.","",
"Louise","United Kingdom","Solo traveller","7.5","Good","1 July 2014","Good location, basic hotel 2 nights cost £90 which is about right","had to change rooms as they allocated me a room with a camp bed in a cupboard which was strange and uncomfortable more suitable for a child ! My new and normal room was ok but I wouldn't want 2 of us in there the toilet and shower are in the room no division at all! Embarrassing ! No free wifi not even in the lobby which would put me off returning here","","Good location, basic hotel 2 nights cost £90 which is about right","had to change rooms as they allocated me a room with a camp bed in a cupboard which was strange and uncomfortable more suitable for a child ! My new and normal room was ok but I wouldn't want 2 of us in there the toilet and shower are in the room no division at all! Embarrassing ! No free wifi not even in the lobby which would put me off returning here","",
"Serdar","Turkey","Solo traveller","3.8","Poor","30 June 2014","","the bads are very uncomfortible","","","the bads are very uncomfortible","",
"Alexander","Russia","Solo traveller","5","Passable","29 June 2014","Clean room, good breakfast","Far from the center, no fridge in the room","","Clean room, good breakfast","Far from the center, no fridge in the room","",
"Simon","Poland","Couple","7.9","Good","29 June 2014","pretty good access to both centre and airport","No free wifi","","pretty good access to both centre and airport","No free wifi","",
"Paulo","Portugal","Solo traveller","9.6","Exceptional","29 June 2014","The hotel style","","","The hotel style","","",
"Jaroslaw","Poland","Couple","8.8","Fabulous","28 June 2014","High quality breakfast provideing broad choice of food specialities
- Very helpful and highly skilled personell in restaurant (breakfast)
- free of charge internet stand in the lobby
- located very close to public transport stops (U-Bahn, bus)","double bed combined out of two separate mattresses, which makes sleeping uncomfortable due to "the canion" appearing every night in the middle of the bed
- unsuficcient number of lifts, aspecially in the rush hours (breakfast)",""," High quality breakfast provideing broad choice of food specialities
- Very helpful and highly skilled personell in restaurant (breakfast)
- free of charge internet stand in the lobby
- located very close to public transport stops (U-Bahn, bus)"," double bed combined out of two separate mattresses, which makes sleeping uncomfortable due to "the canion" appearing every night in the middle of the bed
- unsuficcient number of lifts, aspecially in the rush hours (breakfast)","",
"Sylvia","United Kingdom","Group of friends","9.6","Exceptional","26 June 2014","Excellent all round, cannot fault this hotel.    Must admit didn't have breakfast as I don't eat breakfast but found  a very nice cafe called Sinnbild  would recommend for breakfast and dinner.  Would certainly stay at the Leonardo again without a doubt.","","","Excellent all round, cannot fault this hotel.    Must admit didn't have breakfast as I don't eat breakfast but found  a very nice cafe called Sinnbild  would recommend for breakfast and dinner.  Would certainly stay at the Leonardo again without a doubt.","","",
"Janusz","Poland","Couple","7.5","Good","22 June 2014","Own parking, good breakfast","No Internet access at the modern time.","","Own parking, good breakfast","No Internet access at the modern time.","",
"Mila","Serbia","Couple","8.3","Very good","19 June 2014","location, cleanliness","no wifi","","location, cleanliness","no wifi","",
"Edward","Canada","Solo traveller","9.6","Exceptional","17 June 2014","Great base for touring Berlin, just a block from an underground station. Good choice of restaurants in the neighbourhood. Very helpful staff at the front desk.","Slow elevators. Strange in this day and age that wifi access is not included in the room rate.","","Great base for touring Berlin, just a block from an underground station. Good choice of restaurants in the neighbourhood. Very helpful staff at the front desk.","Slow elevators. Strange in this day and age that wifi access is not included in the room rate.","",
"Kevin","United Kingdom","Couple","9.6","Exceptional","17 June 2014","Convenient to shops and city centre and 15 minutes from Tegal airport.","The tea.","","Convenient to shops and city centre and 15 minutes from Tegal airport.","The tea.","",
"Alessandro","Italy","Solo traveller","8.8","Fabulous","16 June 2014","breakfast is very good. A lot of choise and good quality.
just few steps from U2 metro station. easy to reach city center. nice neighborhood","wifi is not free (and pretty expansive)","","breakfast is very good. A lot of choise and good quality.
just few steps from U2 metro station. easy to reach city center. nice neighborhood","wifi is not free (and pretty expansive)","",
"Ekaterina","Russia","Family","8.8","Fabulous","14 June 2014","good location to the Staatsoper, clean room,friendly staff. A lot of Italian cafe around.","It was too noisy at our floor. WiFi is not free and only available in the lobby.","","good location to the Staatsoper, clean room,friendly staff. A lot of Italian cafe around.","It was too noisy at our floor. WiFi is not free and only available in the lobby.","",
"Daniel","U.S.A.","Couple","8.3","Very good","11 June 2014","Facilities were in good condition - clean and comfortable.  Good beds - rooms adequately sized.  Staff was very capable, friendly and helpful.
Although the WiFi was not free the 2 complementary computers in the lobby worked well and were appreciated","No door or separation of any type between the bedroom and the sink and shower.  Toilet was in a tiny enclosed closet with no ventilation.  No ventilation or enclosure of the shower and sink area left the entire room very damp and humid after guests shower in the a.m. with no privacy.
Breakfast buffet was good but not excellent and was very expensive.
WiFi should be complementary - it was  not and was quite expensive.","","Facilities were in good condition - clean and comfortable.  Good beds - rooms adequately sized.  Staff was very capable, friendly and helpful.
Although the WiFi was not free the 2 complementary computers in the lobby worked well and were appreciated","No door or separation of any type between the bedroom and the sink and shower.  Toilet was in a tiny enclosed closet with no ventilation.  No ventilation or enclosure of the shower and sink area left the entire room very damp and humid after guests shower in the a.m. with no privacy.
Breakfast buffet was good but not excellent and was very expensive.
WiFi should be complementary - it was  not and was quite expensive.","",
"John","U.S.A.","Couple","9.6","Exceptional","1 June 2014","Location
Easy to and from airport","Fee for internet","","Location
Easy to and from airport","Fee for internet","",
"Cedomir","Germany","Couple","7.1","Good","1 June 2014","location excellent for me because its near DEUTSCHE OPER BERLIN,and i am in berlin for 2 performances in that theater","you can not do warm in room because the complet hotel had stop the heath ,and you can have just cool air in the air condition in room","","location excellent for me because its near DEUTSCHE OPER BERLIN,and i am in berlin for 2 performances in that theater","you can not do warm in room because the complet hotel had stop the heath ,and you can have just cool air in the air condition in room","",
"Ingrid","Hungary","Couple","10","Exceptional","30 May 2014","Perfect location, clean, friendly, comfortable, good value for money","","","Perfect location, clean, friendly, comfortable, good value for money","","",
"David","United Kingdom","Solo traveller","5.4","Passable","30 May 2014","","Internet - 18 euro per day and it didn't work properly - total rip
off. Ordered double room, but it wasn't a proper double - it had two
twin beds pushed together so couldn't sleep properly. Room was not
cleaned properly every day - just tidied up with no new sheets.","","","Internet - 18 euro per day and it didn't work properly - total rip
off. Ordered double room, but it wasn't a proper double - it had two
twin beds pushed together so couldn't sleep properly. Room was not
cleaned properly every day - just tidied up with no new sheets.","",
"Charles","U.S.A.","Couple","8.3","Very good","29 May 2014","","no wash cloths... luckily it is close to shopping. 
 Also the elevators... the one that the system defaults to (one that is always used when all are available) has a horrible sound when going down fro the 1st floor to the ground floor. We were 3 rooms away from it and it still kept us awake...","","","no wash cloths... luckily it is close to shopping. 
 Also the elevators... the one that the system defaults to (one that is always used when all are available) has a horrible sound when going down fro the 1st floor to the ground floor. We were 3 rooms away from it and it still kept us awake...","",
"Timo","Germany","Group of friends","8.3","Very good","29 May 2014","Good location, friendly reception, excellent metro connection, good breakfast","Hard to find parking space for a car.","","Good location, friendly reception, excellent metro connection, good breakfast","Hard to find parking space for a car.","",
"Bradley","Australia","Solo traveller","7.9","Good","29 May 2014","The helpful and polite staff.For this reason alone I would stay again at the Leonardo.","The room didn't have a small fridge.
The Hotel didn't have Wi Fi.","","The helpful and polite staff.For this reason alone I would stay again at the Leonardo.","The room didn't have a small fridge.
The Hotel didn't have Wi Fi.","",
"Nicola","New Zealand","Couple","8.3","Very good","27 May 2014","room was great value, staff were helpful and knowledgeable. Handy to U-bahn station and good surrounding nightlife","Should offer free wifi in this price point. Few maintenance issues with the room, faulty air-con, however it was fixed","","room was great value, staff were helpful and knowledgeable. Handy to U-bahn station and good surrounding nightlife","Should offer free wifi in this price point. Few maintenance issues with the room, faulty air-con, however it was fixed","",
"Davinia","United Kingdom","Couple","8.8","Fabulous","27 May 2014","Hotel decor, Breakfast selection, Proximity to U-Ban, Friwndliness/efficiency of staff","Design of bar area, would have liked free wifi in room","","Hotel decor, Breakfast selection, Proximity to U-Ban, Friwndliness/efficiency of staff","Design of bar area, would have liked free wifi in room","",
"Arvis","Latvia","Couple","8.3","Very good","25 May 2014","","Strange designe of bathroom and toilet:  you have to take care of yourself without necessary intimacy.","","","Strange designe of bathroom and toilet:  you have to take care of yourself without necessary intimacy.","",
"Dr","United Kingdom","Solo traveller","7.5","Good","23 May 2014","The location was all right, mainly because the reason for my trip was to go to the Berlin opera, and that was around the corner. Good transport links to the rest of the city and to the airport (Tegel).","Wi-fi cost E11 or so. This is not that great in 2014. This would be enough to make me find a different hotel, but Berlin was very busy when I had to be there, so I didn't have much choice.","","The location was all right, mainly because the reason for my trip was to go to the Berlin opera, and that was around the corner. Good transport links to the rest of the city and to the airport (Tegel).","Wi-fi cost E11 or so. This is not that great in 2014. This would be enough to make me find a different hotel, but Berlin was very busy when I had to be there, so I didn't have much choice.","",
"Jennifer","South Africa","Solo traveller","7.9","Good","21 May 2014","Energy saving lighting
Comfortable an warm bed
Subway access around the corner","","","Energy saving lighting
Comfortable an warm bed
Subway access around the corner","","",
"Andrea","Italy","Couple","4.2","Disappointing","20 May 2014","","There's no free wifi for the guests!!in 2014...","","","There's no free wifi for the guests!!in 2014...","",
"Marius","Romania","Couple","6.7","Pleasant","14 May 2014","","unfriendly front desk clerks","","","unfriendly front desk clerks","",
"Natalia","United Arab Emirates","Couple","9.2","Superb","13 May 2014","Location is great, right next to the Bismarckstrasse U-Bahn station. The staff are friendly and helpful. Breakfasts are excellent! Rooms are quiet.","Blankets are small. I prefer bigger ones, it makes me more comfortable to sleep.","","Location is great, right next to the Bismarckstrasse U-Bahn station. The staff are friendly and helpful. Breakfasts are excellent! Rooms are quiet.","Blankets are small. I prefer bigger ones, it makes me more comfortable to sleep.","",
"Nemanja","Serbia","Solo traveller","7.1","Good","12 May 2014","Great location,near underground station,airport just 10-15 minutes from hotel.","Very expensive Wi Fi ...","","Great location,near underground station,airport just 10-15 minutes from hotel.","Very expensive Wi Fi ...","",
