"Name","Country","Traveler Type","Score","Score Explanation","Date","Pros","Cons","Response","Pros Original","Cons Original","Response Original"
"Rafael","Germany","Couple","8.8","Fabulous","22 January 2014","Beautiful hotel, clean and comfortable room. The support of the booking and the staff were excellent to circumvent our "booking the wrong day problem". Highly recommended.","The location is not the best. You have to take train to reach the main city points.","","Beautiful hotel, clean and comfortable room. The support of the booking and the staff were excellent to circumvent our "booking the wrong day problem". Highly recommended.","The location is not the best. You have to take train to reach the main city points.","",
"Stephanie","United Kingdom","Solo traveller","9.6","Exceptional","17 January 2014","","Staff rude!","","","Staff rude!","",
"Kalliopi","Greece","Couple","9.6","Exceptional","15 January 2014","amenities
artistic style
kettle in room
balcony","limited closet space","","amenities
artistic style
kettle in room
balcony","limited closet space","",
"Aleksandra","Netherlands","Couple","8.8","Fabulous","23 December 2013","very nice rooms and bathroom, free sauna and gym","very warm in the rooms","","very nice rooms and bathroom, free sauna and gym","very warm in the rooms","",
"Dimitrios","Greece","Couple","9.2","Superb","18 December 2013","The bar and the room were very nice","I am sorry but this is not a Wi-Fi","","The bar and the room were very nice","I am sorry but this is not a Wi-Fi","",
"Hendrik","Netherlands","Solo traveller","10","Exceptional","7 November 2013","I am a regular here for the last 15 years and with the new improvements it just got better","","","I am a regular here for the last 15 years and with the new improvements it just got better","","",
"Peter","Singapore","Solo traveller","7.5","Good","14 October 2013","Nice modern interior / colors / design.","Couldn't get wifi access in my room and reception staff was no help at all.  One even gave me a helpdesk number to call, as if that's my job -- should I call an electrician or a plumber too if there's problems?  When I did call it was a recorded message in German saying something (I think) about faxing in the nature of the problem.  I had no trouble accessing the internet in the lobby, only in my room.  I suspect it was something with my room being too far out and being lower priority when other people are trying to get online, but they should get this fixed.","","Nice modern interior / colors / design.","Couldn't get wifi access in my room and reception staff was no help at all.  One even gave me a helpdesk number to call, as if that's my job -- should I call an electrician or a plumber too if there's problems?  When I did call it was a recorded message in German saying something (I think) about faxing in the nature of the problem.  I had no trouble accessing the internet in the lobby, only in my room.  I suspect it was something with my room being too far out and being lower priority when other people are trying to get online, but they should get this fixed.","",
"Ian","United Kingdom","Family","10","Exceptional","24 September 2013","The staff - all helpful.
Colourful ( Andy Warhol ) and spacious, also quiet.
Good location
Excellent quality and very good value","milk powder on tea/coffee tray was not replaced","","The staff - all helpful.
Colourful ( Andy Warhol ) and spacious, also quiet.
Good location
Excellent quality and very good value","milk powder on tea/coffee tray was not replaced","",
"Ercument","Turkey","Family","6.3","Pleasant","24 September 2013","Location, 
- Free Wi-Fi, 
- Helpful Staff","Small Room (especially with a baby cot hard to pass between beds and other stuff) 
- Insufficient Dirty Water Drainage on the Floor of Bathroom (after having a shower unable to use bathroom due to small ponds collected on the floor)
- No extra pillow (especially for the ones who requires hard pillow)
- Considerably weak breakfast, comparing with the same level hotels in Turkey",""," Location, 
- Free Wi-Fi, 
- Helpful Staff","Small Room (especially with a baby cot hard to pass between beds and other stuff) 
- Insufficient Dirty Water Drainage on the Floor of Bathroom (after having a shower unable to use bathroom due to small ponds collected on the floor)
- No extra pillow (especially for the ones who requires hard pillow)
- Considerably weak breakfast, comparing with the same level hotels in Turkey","",
"Rikke","Denmark","Group of friends","8.8","Fabulous","4 September 2013","We liked the design of the hotel and the location. Also, the room was spotless, and the beds were extremely comfortable. 
Also, we enjoyed the supply of coffee, tee, cocoa and cookies in the room. 
Altogether, we found the hotel to be very good value for money.","Some of the members of the staff were not very helpful. 
The supply and replacement of toiletries was a bit random, e.g. we booked a double room, but there was only one bottle of shampoo, soap and mouthwash + we had to find towels in the closet. Later, some of the toiletries were replaced, yet others weren't. I know it is a small thing, yet it was somewhat annoying since we didn't bring any supply ourselves as the hotel stated that luxurious toiletries would be provided.","","We liked the design of the hotel and the location. Also, the room was spotless, and the beds were extremely comfortable. 
Also, we enjoyed the supply of coffee, tee, cocoa and cookies in the room. 
Altogether, we found the hotel to be very good value for money.","Some of the members of the staff were not very helpful. 
The supply and replacement of toiletries was a bit random, e.g. we booked a double room, but there was only one bottle of shampoo, soap and mouthwash + we had to find towels in the closet. Later, some of the toiletries were replaced, yet others weren't. I know it is a small thing, yet it was somewhat annoying since we didn't bring any supply ourselves as the hotel stated that luxurious toiletries would be provided.","",
"Daiane","Portugal","Family","10","Exceptional","30 August 2013","everything. beautiful hotel. good people. really worth staying.very good price. nice and helpfull people. great location.","there was no top sheet, just blanket and no refil for bar soup.
there was a mistake during paying the room, they charged us on the credit card used for the reservation and couldn't pay on cash.","","everything. beautiful hotel. good people. really worth staying.very good price. nice and helpfull people. great location.","there was no top sheet, just blanket and no refil for bar soup.
there was a mistake during paying the room, they charged us on the credit card used for the reservation and couldn't pay on cash.","",
"Micha","Germany","Group of friends","8.8","Fabulous","29 August 2013","Nice modern rooms
Pleasant extras
Convenient location","Slow, truncated wifi","","Nice modern rooms
Pleasant extras
Convenient location","Slow, truncated wifi","",
"Luanne","South Africa","Couple","7.9","Good","25 August 2013","The interior of the hotel.
The services available.
It has a luxurious feel to it.
The bed was comfortable.","Our bathroom door was difficult to close, which can be quite annoying.
The internet was slow.
The duvet was too small for the bed. We went in summer, so it was not a problem, but if you go during winter, it might be an issue.
Our towels weren't changed everyday and the shower gel was not topped up/replaced.","","The interior of the hotel.
The services available.
It has a luxurious feel to it.
The bed was comfortable.","Our bathroom door was difficult to close, which can be quite annoying.
The internet was slow.
The duvet was too small for the bed. We went in summer, so it was not a problem, but if you go during winter, it might be an issue.
Our towels weren't changed everyday and the shower gel was not topped up/replaced.","",
"Stephen","United Kingdom","Couple","8.3","Very good","18 August 2013","Friendly staff, good sized room, nice bar.","Some scuff marks on the wall but otherwise fine!","","Friendly staff, good sized room, nice bar.","Some scuff marks on the wall but otherwise fine!","",
"Sharon","South Africa","Couple","10","Exceptional","13 August 2013","Centrally located, budget-friendly with all the basic necessities one needs for even a business trip. Wi-fi service available.  Friendly staff","Happy with service","","Centrally located, budget-friendly with all the basic necessities one needs for even a business trip. Wi-fi service available.  Friendly staff","Happy with service","",
"David","Israel","Couple","7.9","Good","3 June 2014","","","","","","",
"José","Brazil","Couple","7.1","Good hotel and very well localization in Berlin","7 October 2014","","","","","","",
"Richard","United Kingdom","Solo traveller","7.1","Good","29 September 2014","","","","","","",
"Alisa","Russia","Solo traveller","7.9","Good","16 September 2014","","","","","","",
"Karen271062","United Kingdom","Group of friends","9.2","Superb","10 August 2014","","","","","","",
"Taoran","United Kingdom","Group of friends","9.2","Superb","26 July 2014","","","","","","",
"Niccolo","U.S.A.","Couple","7.1","Good","1 July 2014","","","","","","",
"Natalie","United Kingdom","Couple","9.6","Exceptional","12 June 2014","","","","","","",
"Jorge","U.S.A.","Couple","9.2","Superb","21 May 2014","","","","","","",
"Neil","Ireland","Solo traveller","6.7","Pleasant","30 April 2014","","","","","","",
"Fiona","United Kingdom","Group of friends","7.5","Good","26 April 2014","","","","","","",
"Richard","United Kingdom","Couple","8.8","Fabulous","11 April 2014","","","","","","",
"Pawel","Netherlands","Family","7.9","Good","15 January 2014","","","","","","",
"Jolanta","","Couple","9.6","Exceptional","12 October 2013","","","","","","",
"Anonymous","Israel","Couple","9.6","Exceptional","22 September 2013","Clean, Comfortable location, very friendly staff.","It was a little hot in the room, although the air-conditioner worked.","","Clean, Comfortable location, very friendly staff.","It was a little hot in the room, although the air-conditioner worked.","",
"Anonymous","Switzerland","Couple","9.2","perfect","16 September 2014","everything was perfect.","nothing","","everything was perfect.","nothing","",
"Anonymous","Netherlands","Solo traveller","9.6","Exceptional","22 August 2014","Everything, from the friendly staff, to the beautiful decoration and extreme comfortable rooms with good beds, crisp linnen, fluffy cushions, nice bathroom and free wifi.","Nothing.","","Everything, from the friendly staff, to the beautiful decoration and extreme comfortable rooms with good beds, crisp linnen, fluffy cushions, nice bathroom and free wifi.","Nothing.","",
"Anonymous","Germany","Couple","10","Exceptional","18 August 2014","","outside parking is chargable until 10 pm daily. No hotel owned parking slots inside/outside","","","outside parking is chargable until 10 pm daily. No hotel owned parking slots inside/outside","",
"Anonymous","United Kingdom","Couple","9.6","Exceptional","17 July 2014","Very helpful, friendly staff. Good price, very clean. Public areas pleasant.","Sheets not changed during a 5-night stay.","Thank you very much for your stay with us and your positive review of our services. We do apologize for not having changed your sheets during your stay and will discuss that particular point, as well as the overall score with our team. For any inconveniences this may have caused, we would like to apologize. We do hope to welcoming you again soon.","Very helpful, friendly staff. Good price, very clean. Public areas pleasant.","Sheets not changed during a 5-night stay.","Thank you very much for your stay with us and your positive review of our services. We do apologize for not having changed your sheets during your stay and will discuss that particular point, as well as the overall score with our team. For any inconveniences this may have caused, we would like to apologize. We do hope to welcoming you again soon.",
"Anonymous","Singapore","Solo traveller","6.3","Pleasant","23 May 2014","Location","Housekeeping was poor, room dirty","Thank you for your stay and your review. Please accept our apology for not being able to show our actual high standard for cleanliness and service. We regret highly not to have met your expectations. But be assured that we will share your experience with our teams and use it to optimize and progress in our work. We hope to be able to prove that to with your next stay with us.","Location","Housekeeping was poor, room dirty","Thank you for your stay and your review. Please accept our apology for not being able to show our actual high standard for cleanliness and service. We regret highly not to have met your expectations. But be assured that we will share your experience with our teams and use it to optimize and progress in our work. We hope to be able to prove that to with your next stay with us.",
"Anonymous","United Kingdom","Couple","8.8","Fabulous","7 May 2014","Spacious room, good size shower and bathroom facilities.
Ample breakfast buffet","Air conditioning didn't work properly so the room was uncomfortably hot at night even with the windows open","Thank you for your stay with us and the time you have spend reviewing your stay. We highly appreciate your comments and are very happy to have met your full expectations in the areas staff, cleanliness and location. The more we regret that your air conditioning was not working properly and like to apologize sincerely for the inconveniences. We hope to welcoming you again soon.","Spacious room, good size shower and bathroom facilities.
Ample breakfast buffet","Air conditioning didn't work properly so the room was uncomfortably hot at night even with the windows open","Thank you for your stay with us and the time you have spend reviewing your stay. We highly appreciate your comments and are very happy to have met your full expectations in the areas staff, cleanliness and location. The more we regret that your air conditioning was not working properly and like to apologize sincerely for the inconveniences. We hope to welcoming you again soon.",
"Anonymous","Greece","Couple","10","Exceptional","30 December 2013","* Hotel's facilities and overall style
* Friendly & helpful staff","Internet speed was quite slow, however this was not a major issue.","","* Hotel's facilities and overall style
* Friendly & helpful staff","Internet speed was quite slow, however this was not a major issue.","",
"Anonymous","Lithuania","Couple","4.6","Disappointing","10 November 2013","Design","Staff
Internet connection
Room facilities
Cleanliness","","Design","Staff
Internet connection
Room facilities
Cleanliness","",
"Anonymous","U.S.A.","Couple","6.7","Pleasant","30 September 2013","Size of the rooms was ok","The hotel has a new section and an old section. The new section is
clean, but the old section is very worn, moldy tiles dirty carpets. The
Hotel is totally understaffed on weekends, not even a manger is there
during the weekend. During our stay it was totally booked out but only
ran by 3 people during the evening. We had issues with shower drains
backing up, The ac failing in the entire new section, no maintenance
staff on hand ....","","Size of the rooms was ok","The hotel has a new section and an old section. The new section is
clean, but the old section is very worn, moldy tiles dirty carpets. The
Hotel is totally understaffed on weekends, not even a manger is there
during the weekend. During our stay it was totally booked out but only
ran by 3 people during the evening. We had issues with shower drains
backing up, The ac failing in the entire new section, no maintenance
staff on hand ....","",
"Anonymous","United Kingdom","Couple","9.6","Exceptional","20 September 2013","Exceptional friendly, helpful and efficient staff. Beautifully designed hotel and the rooms were very stylish with good features. Good location near the Kurfuerstendamm, local restaurants, U Bahn and buses.","We had a room facing the main road which was rather noisy. Also the airconditioning did not seem to work properly which meant opening the window and therefore more noisy.","","Exceptional friendly, helpful and efficient staff. Beautifully designed hotel and the rooms were very stylish with good features. Good location near the Kurfuerstendamm, local restaurants, U Bahn and buses.","We had a room facing the main road which was rather noisy. Also the airconditioning did not seem to work properly which meant opening the window and therefore more noisy.","",
"Anonymous","Italy","Couple","5.4","Passable","14 September 2013","Modern  hotel very close to Kudamm but very impersonal. Staff too young and not expert enough to solve prompty big diseas like thet fact I found out that our luggages  and wardrobe were opened while we were out. very regrettable episode.","Somebody in the hotel tried to steel some garments from our wardorobe and luggage.the day before I left  the hotel I couldn't find a dress that I had put in the wardrobe plus some makeup things.after searching everywhere in the room I found them hidden on the top of the wardrobe. I think the intention was to take them if I wouldn t have noticed they had disappeared.staff seemed sorry and embaressed for this but not very much surprised.I'm often in Berlin for work but won t go anymore to this hotel. If you go , lock your luggages well !","","Modern  hotel very close to Kudamm but very impersonal. Staff too young and not expert enough to solve prompty big diseas like thet fact I found out that our luggages  and wardrobe were opened while we were out. very regrettable episode.","Somebody in the hotel tried to steel some garments from our wardorobe and luggage.the day before I left  the hotel I couldn't find a dress that I had put in the wardrobe plus some makeup things.after searching everywhere in the room I found them hidden on the top of the wardrobe. I think the intention was to take them if I wouldn t have noticed they had disappeared.staff seemed sorry and embaressed for this but not very much surprised.I'm often in Berlin for work but won t go anymore to this hotel. If you go , lock your luggages well !","",
"Anonymous","Germany","Couple","4.2","Disappointing","26 August 2013","","Service of staff; block a big amount of money and refund me quite slowly","","","Service of staff; block a big amount of money and refund me quite slowly","",
"Anonymous","Israel","Solo traveller","8.8","Fabulous","1 September 2013","","","","","","",
"Anonymous","Russia","Couple","5.8","Okay","9 September 2014","","","","","","",
"Anonymous","Germany","Couple","7.5","Good","26 August 2014","","","","","","",
"Anonymous","Denmark","Couple","9.2","Superb","2 August 2014","","","","","","",
"Anonymous","Austria","Couple","10","Exceptional","22 July 2014","","","","","","",
"Anonymous","Ukraine","Solo traveller","7.9","Good","6 June 2014","","","","","","",
"Anonymous","Singapore","Solo traveller","7.5","Good","18 May 2014","","","","","","",
"Alexandr","Israel","Couple","8.8","Хороший отель.","27 July 2014","The location is great. All close","","","Расположение отличное. Все рядом","","",
"Doron_Shafir","Israel","Couple","9.2","Superb","15 May 2014","New and modern hotel, stunning design, innovative concept. Guest requests attentive staff, we asked for a room and once filled the room vacated our request.","The maids did not clean the room and carefully series.","","מלון חדש ומודרני, עיצוב מהמם, קונספט חדשני. צוות קשוב לבקשות האורח, ביקשנו לעבור חדר וברגע שהתפנה חדר מילאו את בקשתינו.","החדרניות לא מנקות ומסדרות את החדר בהקפדה.","",
"Orit","Israel","Couple","10","Exceptional","2 May 2014","The help of computer related team","No","","עזרה של הצוות בנושא מיחשוב","אין","",
"Hanan","Israel","Solo traveller","9.2","Superb","17 December 2013","Regarding the consideration price. Very convenient location, there is a supermarket about a minute away.","There was no bathroom in the room. The heating did not work so well, but it was not cold in the room. Smart TV has made some problems.","","המחיר ביחס לתמורה.                  המיקום נוח מאוד, יש סופרמרקט כדקה מהמלון.","לא היתה אמבטיה בחדר.              החימום לא עבד כל כך טוב,אבל לא היה קר בחדר. הטלוויזיה החכמה עשתה קצת בעיות.","",
"Yair","Israel","Couple","9.6","Exceptional","14 August 2013","Excellent location
Modern decor throughout the hotel
General maintenance at a high level
Rooms - comfort, ventilation, lighting, cleanliness, quiet, design","Somewhat aloof attitude of some hotel staff","","מיקום מצוין
עיצוב מודרני בכל המלון
תחזוקה כללית ברמה גבוהה
בחדרים - נוחות,אוורור,תאורה,ניקיון,שקט,עיצוב","יחס מעט מנוכר של חלק מצוות המלון","",
