"Name","Country","Traveler Type","Score","Score Explanation","Date","Pros","Cons","Response","Pros Original","Cons Original","Response Original"
"Andréa","Brazil","","7.9","Good","15 July 2014","The hotel localization is good, in a quiet place and near Tiergarten. 
The recepcionist service is great. They are helpuful and polite.
It's easy to reach all the tourist places from there.
Great benefit-cost.","","","The hotel localization is good, in a quiet place and near Tiergarten. 
The recepcionist service is great. They are helpuful and polite.
It's easy to reach all the tourist places from there.
Great benefit-cost.","","",
"Daniël","Netherlands","","7.9","Good","11 July 2014","Location was excellent, so was the staff. Good service.","In the single rooms the WiFi reception is very bad, a fix would be badly
needed. Furthermore my bathroom flooded due to bad tilework.","","Location was excellent, so was the staff. Good service.","In the single rooms the WiFi reception is very bad, a fix would be badly
needed. Furthermore my bathroom flooded due to bad tilework.","",
"Monika","Spain","","7.1","Good","8 July 2014","Good price for location.","During my stay in Berlin, it was really hot (30 Celsius degrees), and there is no AC in the rooms. Also, during my visit (July 2014) there were noisy construction works on the street just in front of the hotel starting around 7AM. Sleeping in was not an option.","","Good price for location.","During my stay in Berlin, it was really hot (30 Celsius degrees), and there is no AC in the rooms. Also, during my visit (July 2014) there were noisy construction works on the street just in front of the hotel starting around 7AM. Sleeping in was not an option.","",
"robertosalgo","Italy","","7.1","Confortable hotel in mitte","4 July 2014","the room was a bit small but very nice , perfect wi fi. The position of the hotel is perfect","The breakfast is too expansive.","","the room was a bit small but very nice , perfect wi fi. The position of the hotel is perfect","The breakfast is too expansive.","",
"Chongwei","France","","9.2","Superb","4 July 2014","refrigerator, location","kitchen available but need to pay for utensils","","refrigerator, location","kitchen available but need to pay for utensils","",
"Lisa","United Kingdom","","8.3","Very good","3 July 2014","Literally 5 minute walk from the gorgeous Tiergarten.
Arriving to mini bags of Haribo Gold Bears on my bed was an early highlight to our stay in Berlin!","The lift was possibly the slowest in the world (but at least they had one). 
The tiny step into the bathroom caught me offguard a couple of times!","","Literally 5 minute walk from the gorgeous Tiergarten.
Arriving to mini bags of Haribo Gold Bears on my bed was an early highlight to our stay in Berlin!","The lift was possibly the slowest in the world (but at least they had one). 
The tiny step into the bathroom caught me offguard a couple of times!","",
"Amirmohammad","Germany","","7.5","Good","1 July 2014","Everything good","Wifi works poorly","","Alles gut","Wifi funktioniert schlecht","",
"Egle","Lithuania","","7.1","UNCOMFORTABLE IN SUMMER","1 July 2014","Nice location, clean room","There's no air conditioner in the room, when its summer and its
hot, there's no excuse for that. It was terrible and impossible to
sleep at night","","Nice location, clean room","There's no air conditioner in the room, when its summer and its
hot, there's no excuse for that. It was terrible and impossible to
sleep at night","",
"Stephanie","Malta","","10","Exceptional","27 June 2014","Great value for money and it is very central yet quiet in the evening. Kitchenette is great and the kitchen package has everything one needs to be comfortable. Everything is within reach even U and S-Bahn stations..highly recommended","the only thing is that Wi-Fi connection was really bad..we had to either open the front door and stay next to it or go out in the corridor for internet.","","Great value for money and it is very central yet quiet in the evening. Kitchenette is great and the kitchen package has everything one needs to be comfortable. Everything is within reach even U and S-Bahn stations..highly recommended","the only thing is that Wi-Fi connection was really bad..we had to either open the front door and stay next to it or go out in the corridor for internet.","",
"Carlos","Czech Republic","","8.8","Fabulous","22 June 2014","It's location is the best part, and you get aome freebies like coffee.","There was no a/c and that day it was warm","","It's location is the best part, and you get aome freebies like coffee.","There was no a/c and that day it was warm","",
"Leonardo","Brazil","","8.3","Very good","16 June 2014","Clean, comfortable room, good price and friendly staff.","Nothing.","","Clean, comfortable room, good price and friendly staff.","Nothing.","",
"Piret","Estonia","","10","Exceptional","13 June 2014","Friendly stuff;
Location : X9 bus stop (Zool. garten Hbf) is near if you want to go to Tegel airport;
24h reception;
Smoke free","The bathroom floor was couple of cm-s higher than the  hallway so I hit my toe :D However, I survived. Next time I'll be more mindful.","","Friendly stuff;
Location : X9 bus stop (Zool. garten Hbf) is near if you want to go to Tegel airport;
24h reception;
Smoke free","The bathroom floor was couple of cm-s higher than the  hallway so I hit my toe :D However, I survived. Next time I'll be more mindful.","",
"Mark","Ireland","","8.8","Fabulous","9 June 2014","Great location, walking distance to Zoo Station for S-Bahn and U-Bahn connections, nearby the Europa Centre, the Zoo itself and Ku'dam for shopping. Loads of pubs and restaurants in the general area too if you want to stay local.
The room itself was good; good shower, comfy bed, reasonably spacious.","There was a kitchen provided in the room but cooking utensils, etc. cost extra. Suppose that makes some sense as a lot of hotels wouldn't have a kitchen to begin with.","","Great location, walking distance to Zoo Station for S-Bahn and U-Bahn connections, nearby the Europa Centre, the Zoo itself and Ku'dam for shopping. Loads of pubs and restaurants in the general area too if you want to stay local.
The room itself was good; good shower, comfy bed, reasonably spacious.","There was a kitchen provided in the room but cooking utensils, etc. cost extra. Suppose that makes some sense as a lot of hotels wouldn't have a kitchen to begin with.","",
"Iva","Croatia","","8.3","Very good","3 June 2014","Great location in a quiet neighbourhood; 7min on foot  to U Bahn","Wireless on the top floor leaves much to be desired","","Great location in a quiet neighbourhood; 7min on foot  to U Bahn","Wireless on the top floor leaves much to be desired","",
"Svetlana","Russia","","7.9","Good","2 June 2014","Very good location! Birds singing in the centre of the city! Many shops and shop centers near the hotel.","Too soft bed mattress","","Very good location! Birds singing in the centre of the city! Many shops and shop centers near the hotel.","Too soft bed mattress","",
"Roustem","France","","8.8","Fabulous","29 May 2014","Clean and good room. Nice bathroom. Very quiet, my room was to the inner yard, which was green.","Sometimes WI FI didn't work well.","","Clean and good room. Nice bathroom. Very quiet, my room was to the inner yard, which was green.","Sometimes WI FI didn't work well.","",
"Catalin","Romania","","4.6","Disappointing","27 May 2014","","..wifi doesn't work !","","","..wifi doesn't work !","",
"Todd","Denmark","","8.3","Very good","22 May 2014","Hotel was nice but I was placed on the ground floor and had to go through 6 doors to get to my room.
Staff were friendly and helpful.
Location is a ways from the action","Wifi worked only after you logged in every time and in room only.
Breakfast was ok at best.  Much better options available at Bakeries and restaurants a few blocks away.","","Hotel was nice but I was placed on the ground floor and had to go through 6 doors to get to my room.
Staff were friendly and helpful.
Location is a ways from the action","Wifi worked only after you logged in every time and in room only.
Breakfast was ok at best.  Much better options available at Bakeries and restaurants a few blocks away.","",
"Guillermo","Argentina","","8.8","Fabulous","20 May 2014","Nice room to stay for a few days in Berlin","The bathroom was clean but there was some minor odor in bathroom from pipes.","","Nice room to stay for a few days in Berlin","The bathroom was clean but there was some minor odor in bathroom from pipes.","",
"Lee","United Kingdom","","8.8","Fabulous","20 May 2014","Clean rooms
Comfortable bed
Helpful and friendly staff","Very small reception area","","Clean rooms
Comfortable bed
Helpful and friendly staff","Very small reception area","",
"Simon","Netherlands","","8.3","Very good","15 May 2014","parking free. The shower. The breakfast.","signs in the parking. Where is the entrance of the hotee??","","parking free. The shower. The breakfast.","signs in the parking. Where is the entrance of the hotee??","",
"Erik","Ireland","","7.9","Good","1 May 2014","Great quiet location near Tiegarten/Zoo. Had nice weather so walked almost everywhere, including to Brandenurger Tor/Reichtag etc, but theres bikes to rent everywhere also. Free wi-fi worked grand and rooms were clean.Really good value for money. Staff friendly and helpful.","Soaps/shower gels weren't replaced after first day. Dont know if this is policy or oversight. Pillow was a bit awkard , quite big but also too soft. (minor quibbles here, slept fine)","","Great quiet location near Tiegarten/Zoo. Had nice weather so walked almost everywhere, including to Brandenurger Tor/Reichtag etc, but theres bikes to rent everywhere also. Free wi-fi worked grand and rooms were clean.Really good value for money. Staff friendly and helpful.","Soaps/shower gels weren't replaced after first day. Dont know if this is policy or oversight. Pillow was a bit awkard , quite big but also too soft. (minor quibbles here, slept fine)","",
"James","United Kingdom","","8.8","Fabulous","25 April 2014","Staff were efficient and in general friendly. Budget rooms provided all my needs with a good kitchen area including microwave and kettle.The hotel is located on a quiet street only a five minute walk from either a 100 or 200 bus stop and only a short walk to the Tiergarten or to Wittenbergplatz and KDW and the Kurfurstendamm","Wi-fi was sporadic and very frustrating at times despite a router being fixed just outside my door. The router system to the budget rooms needs to be upgraded","","Staff were efficient and in general friendly. Budget rooms provided all my needs with a good kitchen area including microwave and kettle.The hotel is located on a quiet street only a five minute walk from either a 100 or 200 bus stop and only a short walk to the Tiergarten or to Wittenbergplatz and KDW and the Kurfurstendamm","Wi-fi was sporadic and very frustrating at times despite a router being fixed just outside my door. The router system to the budget rooms needs to be upgraded","",
"Fred","United Kingdom","","10","Exceptional","7 April 2014","Wonderful stay in the hotel. Room was small but had everything we needed and was spotlessly clean. Staff were helpful. Will definitely go back again. Location is also excellent and Berlin is amazing.","","","Wonderful stay in the hotel. Room was small but had everything we needed and was spotlessly clean. Staff were helpful. Will definitely go back again. Location is also excellent and Berlin is amazing.","","",
"Hamed","Denmark","","10","Exceptional","5 April 2014","Staff Behaviour and cleaniness","","","Staff Behaviour and cleaniness","","",
"Oscar","Spain","","7.5","Good","1 April 2014","Nice location and a great value for money.","We stayed for 5 nights, they only cleaned three times.","","Nice location and a great value for money.","We stayed for 5 nights, they only cleaned three times.","",
"Natalie","Sweden","","7.1","Good","28 March 2014","Location","I had a lot of problems with the wifi. Very slow","","Location","I had a lot of problems with the wifi. Very slow","",
"Kai","United Kingdom","","10","Exceptional","27 March 2014","Very friendly and helpful staff. Great location with 3minutes walk to the number 200 bus that run through major tourist places. Great value for money!","The bed could be bigger.
Wall is a bit thin...","","Very friendly and helpful staff. Great location with 3minutes walk to the number 200 bus that run through major tourist places. Great value for money!","The bed could be bigger.
Wall is a bit thin...","",
"Luke","United Kingdom","","10","Exceptional","17 March 2014","Absolutely perfect stay! The staff were friendly and efficient: they called a taxi going to the Reichstag wwhich arrived in seconds! German efficiency in practice! The rooms are clean and comfortable-the bed is an acquired taste but the shower was a joy to use :-) The bus routes 100 and 200 were within walking distance (we never took the Metro during 5 days all bus journeys) The River Spree is at the top of the street by the bridge: Corneliusbrucke! There is a Netto 5 minutes walk away from the Spree-very cheap for water, beer, milk and bread :-) The neighbourhood is very quiet, appears safe and very few locals walking round after work! The Zoo and Tiergarten are all very close by: if the weather is nice have a walk to each-not too far and you can soak up the Berliner culture :-) I will definitely be staying here before 2014 has been and gone-the value for money is remarkable! What a find!","The bed was not particularly uncomfortable it was just different to what I am used to!
Leaving after 5 days was tragic: I want to live in Berlin!","","Absolutely perfect stay! The staff were friendly and efficient: they called a taxi going to the Reichstag wwhich arrived in seconds! German efficiency in practice! The rooms are clean and comfortable-the bed is an acquired taste but the shower was a joy to use :-) The bus routes 100 and 200 were within walking distance (we never took the Metro during 5 days all bus journeys) The River Spree is at the top of the street by the bridge: Corneliusbrucke! There is a Netto 5 minutes walk away from the Spree-very cheap for water, beer, milk and bread :-) The neighbourhood is very quiet, appears safe and very few locals walking round after work! The Zoo and Tiergarten are all very close by: if the weather is nice have a walk to each-not too far and you can soak up the Berliner culture :-) I will definitely be staying here before 2014 has been and gone-the value for money is remarkable! What a find!","The bed was not particularly uncomfortable it was just different to what I am used to!
Leaving after 5 days was tragic: I want to live in Berlin!","",
"Gábor","Germany","","8.8","Fabulous","14 March 2014","Good location, good facilities, clean.","It is loud, people come and go all the time, and the door shuts loudly so I could not sleep till midnight.","","Gute Lage, gute Ausstattung, sauber.","It is loud, people come and go all the time, and the door shuts loudly so I could not sleep till midnight.","",
"Yashaswini","India","","9.2","Superb","14 March 2014","Excellent location
Easy accessibility to public transport
Great places close to the hotel to eat","Wifi was really poor in the room where I stayed making me lose on 1 full day's work","","Excellent location
Easy accessibility to public transport
Great places close to the hotel to eat","Wifi was really poor in the room where I stayed making me lose on 1 full day's work","",
"Ryan","Ireland","","9.6","Exceptional","4 March 2014","Nice hotel got everything you need, with very good value of money. 5 minutes walk to Zoo and U-Bann station.","Wifi connection was not very good, but probably just my room.","","Nice hotel got everything you need, with very good value of money. 5 minutes walk to Zoo and U-Bann station.","Wifi connection was not very good, but probably just my room.","",
"Ekaterina","Russia","","9.6","Exceptional","18 February 2014","Extremely friendly staff, very clean rooms, excellent location, perfect price/quality correlation.","No possibility to have a dinner in the restaurant at the hotel. Wi-Fi signal was quite weak.","","Extremely friendly staff, very clean rooms, excellent location, perfect price/quality correlation.","No possibility to have a dinner in the restaurant at the hotel. Wi-Fi signal was quite weak.","",
"Luna","United Kingdom","","7.9","Good","22 January 2014","Very new hotel!!!! Very happy stay","","","Very new hotel!!!! Very happy stay","","",
"Ashish","Germany","","8.3","Very good","21 January 2014","location","Wi-Fi could have been better","","location","Wi-Fi could have been better","",
"Renata","Australia","","9.6","Exceptional","20 January 2014","I liked that it had a great sized room, a desk, and a kitchenette, which is always good for a Hotel to have. The Location was good too, a short walk to the U-Bahn station","there was no english tv or satellite tv channels!","","I liked that it had a great sized room, a desk, and a kitchenette, which is always good for a Hotel to have. The Location was good too, a short walk to the U-Bahn station","there was no english tv or satellite tv channels!","",
"Moisés","United Kingdom","","6.3","Pleasant","19 January 2014","The room had a small kitchen but had no crockery or cutlery and needed to be rented separately, what's the purpose then? Had a kettle also","The thing about having to pay extra for crockery and cutlery","","The room had a small kitchen but had no crockery or cutlery and needed to be rented separately, what's the purpose then? Had a kettle also","The thing about having to pay extra for crockery and cutlery","",
"Stefan","Austria","","6.7","Pleasant","4 January 2014","Clean room, free mineral water, quiet neighborhood","Breakfast selection limited if you come after 09:30, only small lift - no staircase, huge pillows, next tube station ca. 8 min walking","","Clean room, free mineral water, quiet neighborhood","Breakfast selection limited if you come after 09:30, only small lift - no staircase, huge pillows, next tube station ca. 8 min walking","",
"Yana","Russia","","9.2","Superb","2 January 2014","the location is great! 5 min walk from shopping area at Kudam and very close to Tiergarten, Potsdamer Platz, etc. 1 min walk from bus station (number 200) that goes to Unter den Linden, Berliner Dom, etc. Very quiet at night. Comfortable bed. good staff.","The hotel totally corresponds to its 3 starts. so please do not expect a 5 star service. May be kitchen cutlery shouldn't be given to guests for a special fee. The towel were not changed every day.","","the location is great! 5 min walk from shopping area at Kudam and very close to Tiergarten, Potsdamer Platz, etc. 1 min walk from bus station (number 200) that goes to Unter den Linden, Berliner Dom, etc. Very quiet at night. Comfortable bed. good staff.","The hotel totally corresponds to its 3 starts. so please do not expect a 5 star service. May be kitchen cutlery shouldn't be given to guests for a special fee. The towel were not changed every day.","",
"Ashish","Germany","","10","Exceptional","31 December 2013","Overall everything was fine.","WiFi could have been better","","Overall everything was fine.","WiFi could have been better","",
"Ann","Sweden","","7.5","Good","20 December 2013","It was near the train and bus.
It was a calm area.","The breakfast price and that you have to pay for the kitchen equipment.","","It was near the train and bus.
It was a calm area.","The breakfast price and that you have to pay for the kitchen equipment.","",
"Elena","Russia","","7.5","Good","18 December 2013","Very helpful staff, clean and nice hotel, wifi worked well","","","Very helpful staff, clean and nice hotel, wifi worked well","","",
"Amany","Egypt","","9.6","Exceptional","9 December 2013","Room clean, comfortable, quiet. Has facilities like, kitchen , microwave, tea kroner, free Wi-Fi, all were great .. staff very friendly and helpful. Is few min walking from the zoo, Christmas market, and Europe Shopping center.","","","Room clean, comfortable, quiet. Has facilities like, kitchen , microwave, tea kroner, free Wi-Fi, all were great .. staff very friendly and helpful. Is few min walking from the zoo, Christmas market, and Europe Shopping center.","","",
"Ozan","Turkey","","10","Exceptional","9 December 2013","Simplicity and functionality were the two things I was looking for and I guess I got what I wanted :)","","","Simplicity and functionality were the two things I was looking for and I guess I got what I wanted :)","","",
"Lucie","Belgium","","8.8","Fabulous","9 December 2013","My single room was perfect. Small kitchenette, comfortable bed, clean. Nice staff.","","","My single room was perfect. Small kitchenette, comfortable bed, clean. Nice staff.","","",
"Inge","Belgium","","9.6","Exceptional","7 December 2013","The staff was very welcoming and obliging. The kitchenette was useful for my purposes. The bed was spacious and location quit. Near Tiergarden and Kadewe, really nice!","","","The staff was very welcoming and obliging. The kitchenette was useful for my purposes. The bed was spacious and location quit. Near Tiergarden and Kadewe, really nice!","","",
"Ahmed","Iraq","","7.5","Good","1 December 2013","Location","Internet","","Location","Internet","",
"Basel","Saudi Arabia","","8.8","Fabulous","26 November 2013","The location, though its a little bit far away from any public transportation","","","The location, though its a little bit far away from any public transportation","","",
"Sajjad","Pakistan","","9.6","Exceptional","25 November 2013","Comfortable room in a reasonable rent. Centrally located. Enjoyed my stay.","","","Comfortable room in a reasonable rent. Centrally located. Enjoyed my stay.","","",
"Laura","Italy","","9.2","Superb","20 November 2013","The room was very clean, the bathroom is small but clean and the shower and the phon were very confortable. The hotel is near metro and bus stations that go to the city center. The staff was very kind.","Only one thing, the bed was small but ok.","","The room was very clean, the bathroom is small but clean and the shower and the phon were very confortable. The hotel is near metro and bus stations that go to the city center. The staff was very kind.","Only one thing, the bed was small but ok.","",
"Ekaterina","Malta","","7.1","Good","16 November 2013","A small and basic hotel right in the center close to Intercontinental where we had a conference. Breakfast was good, not a great choice but you have all you need to start your day. Room was very basic but clean.","Everything was fine for the price they offer.
Soft beds.","","A small and basic hotel right in the center close to Intercontinental where we had a conference. Breakfast was good, not a great choice but you have all you need to start your day. Room was very basic but clean.","Everything was fine for the price they offer.
Soft beds.","",
"Natalia","France","","7.5","Good","12 November 2013","I was warmly welcomed, the staff payed attention to all my demands. The room was simple, but cute.","The price was a bit higher than expected for a single room of this type.","","I was warmly welcomed, the staff payed attention to all my demands. The room was simple, but cute.","The price was a bit higher than expected for a single room of this type.","",
"John","Malta","","8.3","Very good","11 November 2013","Very Friendly staff. Good location. Quiet road. Free WiFi :)","Room a little small but comfortable","","Very Friendly staff. Good location. Quiet road. Free WiFi :)","Room a little small but comfortable","",
"Patryk","Poland","","9","Superb","7 November 2013","Very clean and nice hotel. Helpful and friendly staff. High quality at a low price.","","","Very clean and nice hotel. Helpful and friendly staff. High quality at a low price.","","",
"Jakub","Poland","","7.9","Good","5 November 2013","good value for money","","","good value for money","","",
"Han","United Kingdom","","9.6","Exceptional","29 October 2013","good location, clean room, free water, and the helpful staff let me check in early","nothing","","good location, clean room, free water, and the helpful staff let me check in early","nothing","",
"Ximena","Chile","","6.7","Pleasant","7 October 2013","quiet neighborhood","Is far away from any metro station. The nearest bus stop is 10 min by walk
Double Room is very small for 2 people
I think is possible to find a best option for the same or lower price","","quiet neighborhood","Is far away from any metro station. The nearest bus stop is 10 min by walk
Double Room is very small for 2 people
I think is possible to find a best option for the same or lower price","",
"Dillon","U.S.A.","","3.8","Poor","28 September 2013","","Rude staff! As an American tourist I would not recommend this hotel to
other Americans. First, the location is a little out of the way. There
are nicer hotels much closer to the u and s bahn stations. Second, when
I had a basic issue with my room the staff were really rude about it. I
was speaking to them in English, and when I walked away they were
talking about me in German, making negative references to "American
tourists". Well I understand German, so I knew exactly what they
were saying. In a six day stay, the hotel was never able to fix the
problem with the phone in my room. Their solution was that I just use my
cell phone. Well my American cell isn't cheap in Europe.","","","Rude staff! As an American tourist I would not recommend this hotel to
other Americans. First, the location is a little out of the way. There
are nicer hotels much closer to the u and s bahn stations. Second, when
I had a basic issue with my room the staff were really rude about it. I
was speaking to them in English, and when I walked away they were
talking about me in German, making negative references to "American
tourists". Well I understand German, so I knew exactly what they
were saying. In a six day stay, the hotel was never able to fix the
problem with the phone in my room. Their solution was that I just use my
cell phone. Well my American cell isn't cheap in Europe.","",
"Fiona","United Kingdom","","10","Exceptional","17 September 2013","staff
location
comfort","no English Television options","","staff
location
comfort","no English Television options","",
"Mária","Hungary","","10","Exceptional","16 September 2013","Good location, close to the center. Spacious, comfortable, clean room.","","","Good location, close to the center. Spacious, comfortable, clean room.","","",
"Aimen","Libya","","6.7","Pleasant","16 September 2013","comfort with good facility and near to the city market centre.","poor breakfast buffets and the address is not like mentioned in the map,","","comfort with good facility and near to the city market centre.","poor breakfast buffets and the address is not like mentioned in the map,","",
"Marilena","Romania","","8.8","Fabulous","9 September 2013","Restaurant
Employees","No A/C
Not a very nice view from the room","","Restaurant
Employees","No A/C
Not a very nice view from the room","",
"Anna","Belgium","","7.9","Good","19 August 2013","Very clean and new rooms. Good location.","Bad bed! We were rolling  out of it all night untill went to sleep on the floor. Huge pillows.","","Very clean and new rooms. Good location.","Bad bed! We were rolling  out of it all night untill went to sleep on the floor. Huge pillows.","",
"Nathan","Israel","","7.1","Good","7 October 2014","","","","","","",
"Shaf","Israel","","9.6","Exceptional","16 March 2014","","","","","","",
"Amanda","United Kingdom","","7.1","Good","10 October 2014","","","","","","",
"Anastasia","Russia","","4.2","Disappointing","28 September 2014","","","","","","",
"Daniel","Denmark","","6.3","Pleasant","26 August 2014","","","","","","",
"Luc","Belgium","","7.9","Good","21 August 2014","","","","","","",
"Iqbal","United Kingdom","","8.3","Very good","6 August 2014","","","","","","",
"Axel","Germany","","9.2","Superb","4 August 2014","","","","","","",
"Albert","Spain","","7.5","Good","21 July 2014","","","","","","",
"Fabrice","Netherlands","","6.7","Pleasant","13 July 2014","","","","","","",
"Kirsty","Australia","","8.8","Fabulous","8 July 2014","","","","","","",
"Dustin","U.S.A.","","8.3","Very good","30 June 2014","","","","","","",
"Lucila","Peru","","9.6","Exceptional","30 June 2014","","","","","","",
"Amir","Sweden","","7.1","Good","26 June 2014","","","","","","",
"Rui","Germany","","7.5","Good","7 June 2014","","","","","","",
"Wilhelm","Kenya","","8.3","Very good","29 May 2014","","","","","","",
"Philomena","Ireland","","6.5","Pleasant","28 May 2014","","","","","","",
"Oleksandr","Ukraine","","6.7","Pleasant","15 May 2014","","","","","","",
"Marta","Serbia","","8.3","Very good","8 May 2014","","","","","","",
"Agnieszka","Switzerland","","10","Exceptional","30 April 2014","","","","","","",
"Jane","United Arab Emirates","","10","Exceptional","29 April 2014","","","","","","",
"Ivan","U.S.A.","","7.1","Good","25 April 2014","","","","","","",
"Damara","U.S.A.","","7.5","Good","23 April 2014","","","","","","",
"Eddie","Singapore","Solo traveller","9.2","Superb","15 April 2014","","","","","","",
"David","Ireland","Solo traveller","10","Exceptional","5 April 2014","","","","","","",
"Oscar","Spain","Couple","7.1","Good","2 April 2014","","","","","","",
"Stewart","United Kingdom","Solo traveller","7.5","Good","26 March 2014","","","","","","",
"Sotiria","Greece","Solo traveller","8.8","Fabulous","24 March 2014","","","","","","",
"Ekaterina","Russia","Group of friends","7.5","Good","4 March 2014","","","","","","",
"Christine","United Kingdom","Group of friends","8.3","Very good","13 February 2014","","","","","","",
"Adam","United Kingdom","Couple","9.2","Superb","29 January 2014","","","","","","",
"Andrii","Ukraine","Group of friends","8.8","Fabulous","5 January 2014","","","","","","",
"Fawzi","Lebanon","Solo traveller","7.9","Good","10 December 2013","","","","","","",
"Liviu","Romania","Solo traveller","8.3","Very good","10 December 2013","","","","","","",
"Christos","Cyprus","Solo traveller","9.6","Exceptional","2 December 2013","","","","","","",
