"Name","Country","Traveler Type","Score","Score Explanation","Date","Pros","Cons","Response","Pros Original","Cons Original","Response Original"
"Hagit","Israel","Group of friends","9.2","Superb","18 September 2013","the rooms, staff, breackfast, information desk","expensive wifi servise","","the rooms, staff, breackfast, information desk","expensive wifi servise","",
"Nadav","Israel","Couple","8.8","Fabulous","16 September 2013","comfortable, reasonable price, relatively good location","very high breakfast price","","comfortable, reasonable price, relatively good location","very high breakfast price","",
"Hoa","Germany","Group of friends","9.6","Exceptional","8 October 2014","very good location, easy access to the tram, clean rooms, friendly staff","Breakfast is expensive, bathroom is small, wifi in room but very slow","","very good location, easy access to the tram, clean rooms, friendly staff","Breakfast is expensive, bathroom is small, wifi in room but very slow","",
"Amanda","United Kingdom","Couple","10","Exceptional","6 October 2014","Having a free safe, tea & coffee and use of fridge!","Breakfast was expensive so we ate elsewhere.","","Having a free safe, tea & coffee and use of fridge!","Breakfast was expensive so we ate elsewhere.","",
"Mohammed","Netherlands","Couple","7.9","Good","5 October 2014","We stayed for 3 days 2 nights, it was such a wonderful experience.
Excellent Staff - Very helpful, pro-active and courteous. Food - Excellent variety and taste.","The we stay there only for 2 nights. :(","","We stayed for 3 days 2 nights, it was such a wonderful experience.
Excellent Staff - Very helpful, pro-active and courteous. Food - Excellent variety and taste.","The we stay there only for 2 nights. :(","",
"Andrew","United Kingdom","Couple","8","Very good","30 September 2014","Stephanie the concierge was fantastic nothing too much trouble. Good sized room with massive bed. Breakfast was very good. Would recommend.","","","Stephanie the concierge was fantastic nothing too much trouble. Good sized room with massive bed. Breakfast was very good. Would recommend.","","",
"Loke","Singapore","Solo traveller","5.8","Okay","28 September 2014","Good breakfast but have some change of food on alternate day will be great...","Prefer high floor but get only lowest floor .
No free bottled water everyday ...","","Good breakfast but have some change of food on alternate day will be great...","Prefer high floor but get only lowest floor .
No free bottled water everyday ...","",
"Alan","United Kingdom","Solo traveller","9.6","Exceptional","21 September 2014","Very good staff at reception and in the bar area. The concierge was high quality and extremely helpful. The food in the Restaurant was very good, and the breakfast was also of very good quality. Large choice and the hot food was hot. Only thing I would have changed was a firmer bed, personal choice. Overall very good hotel, easy transport links into central Berlin. Tram stop 150m away and only two stops to the center.","see bed choice","","Very good staff at reception and in the bar area. The concierge was high quality and extremely helpful. The food in the Restaurant was very good, and the breakfast was also of very good quality. Large choice and the hot food was hot. Only thing I would have changed was a firmer bed, personal choice. Overall very good hotel, easy transport links into central Berlin. Tram stop 150m away and only two stops to the center.","see bed choice","",
"Gerhard","Germany","Solo traveller","7.1","Good","20 September 2014","Quiet room.
Cleanliness.
Vending machines instead of minibar, but still a very quiet fridge in the room.
Concierge service.","No elevator from parking garage.
Breakfast-staff.
Spa opening-hours.
Mediocre housekeeping.","","Quiet room.
Cleanliness.
Vending machines instead of minibar, but still a very quiet fridge in the room.
Concierge service.","No elevator from parking garage.
Breakfast-staff.
Spa opening-hours.
Mediocre housekeeping.","",
"Kyaw","U.S.A.","Couple","7.1","Good","15 September 2014","Location","Attitude of the front desk staff.","","Location","Attitude of the front desk staff.","",
"Alicia","United Kingdom","Couple","9.6","Exceptional","14 September 2014","Friendly staff, well equipped rooms and hotel. 
Good breakfast and bar area.","","","Friendly staff, well equipped rooms and hotel. 
Good breakfast and bar area.","","",
"Naeem","Pakistan","Solo traveller","7.5","Good","13 September 2014","There was no other hotel in Berlin that was pro iding shuttle bus to IFA but this hotel was giving a good service.
Staff was extreemly supportive specifically at concierge. Amazing cooperation and guidance all the time.
Easy approach to anywhere because thee is tram stTion next to the hotel. So quite convenient.","","","There was no other hotel in Berlin that was pro iding shuttle bus to IFA but this hotel was giving a good service.
Staff was extreemly supportive specifically at concierge. Amazing cooperation and guidance all the time.
Easy approach to anywhere because thee is tram stTion next to the hotel. So quite convenient.","","",
"Fraser","United Kingdom","Couple","6.7","Pleasant","9 September 2014","Large comfortable rooms. 
Free in room wi-fi.","Very skimpy on toiletries.
No water provided except on arrival.
A double bed should not be two single beds pushed together!","","Large comfortable rooms. 
Free in room wi-fi.","Very skimpy on toiletries.
No water provided except on arrival.
A double bed should not be two single beds pushed together!","",
"Bjarni","Iceland","Couple","8.3","Very good","6 September 2014","Good staff","","","Good staff","","",
"Maria","Netherlands","Family","7.9","Good","3 September 2014","good room
friendly personel
easy to reach by public transport
close to Prenzlauerberg with nice restaurants and shops","expensive breakfast but nice coffeeshop in the nabourhood
location near busy road","","good room
friendly personel
easy to reach by public transport
close to Prenzlauerberg with nice restaurants and shops","expensive breakfast but nice coffeeshop in the nabourhood
location near busy road","",
"Zahra","Germany","Couple","10","Exceptional","31 August 2014","very good location, easy access to the tram, great breakfast, clean rooms, friendly staff","","","very good location, easy access to the tram, great breakfast, clean rooms, friendly staff","","",
"Mark","United Kingdom","Couple","9.6","Exceptional","30 August 2014","Very quiet room on the 4th floor.
Very comfortable beds.
Fantastic shower.
Very polite and helpful staff.","Breakfast not included in price.
Charging for internet usage is something I find unbelievable in this day and age, although this isn't unique to this hotel.","","Very quiet room on the 4th floor.
Very comfortable beds.
Fantastic shower.
Very polite and helpful staff.","Breakfast not included in price.
Charging for internet usage is something I find unbelievable in this day and age, although this isn't unique to this hotel.","",
"Ian","United Kingdom","Couple","7.5","Good","27 August 2014","Easy to get to on the Tram, short distance to Alexander Square, a few stops away and the metro. Would recommend a stay at this hotel.","Nothing, all good.","","Easy to get to on the Tram, short distance to Alexander Square, a few stops away and the metro. Would recommend a stay at this hotel.","Nothing, all good.","",
"Joe","Ireland","Couple","8.3","Very good","26 August 2014","Location
Value for money
Quietness","Cost of breakfast was very high compared to Berlin prices","","Location
Value for money
Quietness","Cost of breakfast was very high compared to Berlin prices","",
"Nicholas","France","Couple","9.6","Exceptional","8 August 2014","The room was superb
The staff were very helpful and efficient","Wifi cost was far too high
Breakfast price also too high","","The room was superb
The staff were very helpful and efficient","Wifi cost was far too high
Breakfast price also too high","",
"John","Ireland","Couple","9.2","Superb","6 August 2014","Staff
Comfort
Location","Had to ask for a room with a more pleasing view but found staff obliging and helpful.","","Staff
Comfort
Location","Had to ask for a room with a more pleasing view but found staff obliging and helpful.","",
"Fred","United Kingdom","Couple","9.6","Exceptional","31 July 2014","The space and comfort. Excellent knowledgable staff.Compared to UK much much better value for money.","Wifi too expensive.","","The space and comfort. Excellent knowledgable staff.Compared to UK much much better value for money.","Wifi too expensive.","",
"Sebastian","Poland","Solo traveller","5.4","Passable","27 July 2014","The location of the hotel is quite good, and food is good as well.","Few things went wrong there. They gave me a hotel room when someone was already staying. Spent around hour trying to sorted it. Next day my room key wasn't working. 
The hotel lobby is really crowded so spent decent amount of time queuing.","","The location of the hotel is quite good, and food is good as well.","Few things went wrong there. They gave me a hotel room when someone was already staying. Spent around hour trying to sorted it. Next day my room key wasn't working. 
The hotel lobby is really crowded so spent decent amount of time queuing.","",
"Catherine","United Kingdom","Couple","7.1","Good","27 July 2014","Lovely rooms","Air con not strong enough when weather is very hot","","Lovely rooms","Air con not strong enough when weather is very hot","",
"Halah","Egypt","Family","6.5","Pleasant","25 July 2014","The rooms
The location was excellent to Alexander the platz 
The recipient employers were very helpful","The room wasn't very good cleaned 
And the housekeeper employer opened the door without reason and the secondd day she did the same  for 3 times  but I opened the door asking her what she want and she said you must leave now I said I must leave at 12 not now it is 10 a.m.  but she said ok I opened the door because I am the housekeeping and I need to clean the room . And she was coming without the cleaning machines","","The rooms
The location was excellent to Alexander the platz 
The recipient employers were very helpful","The room wasn't very good cleaned 
And the housekeeper employer opened the door without reason and the secondd day she did the same  for 3 times  but I opened the door asking her what she want and she said you must leave now I said I must leave at 12 not now it is 10 a.m.  but she said ok I opened the door because I am the housekeeping and I need to clean the room . And she was coming without the cleaning machines","",
"Rayan","Lebanon","Group of friends","9.6","Exceptional","22 July 2014","Location is perfect. Very clean Hotel and very helpful staff.","","","Location is perfect. Very clean Hotel and very helpful staff.","","",
"Marek","Germany","Couple","7.5","Good","22 July 2014","nice clean rooms
good breakfast","fees for Wi-Fi","","nice clean rooms
good breakfast","fees for Wi-Fi","",
"Justina","Lithuania","Couple","8.3","Very good","21 July 2014","I liked the room. It was bright, clean, quite specious, nicely furnished. Location of the hotel is good. It is really close to Alexander platz.","Wifi was for additional cost and I found it expensive. More over I believe that such level hotel should offer it for free. Also I believe that the price for breakfast was too high. Housekeeping came very early in the morning.","","I liked the room. It was bright, clean, quite specious, nicely furnished. Location of the hotel is good. It is really close to Alexander platz.","Wifi was for additional cost and I found it expensive. More over I believe that such level hotel should offer it for free. Also I believe that the price for breakfast was too high. Housekeeping came very early in the morning.","",
"Jessica","Lebanon","Group of friends","7.9","Good","17 July 2014","Good Location 
The rooms are spacious","There is no Room Service after 10 pm ! it should be 24h or at least till late at night 
No Mini Bar in The Deluxe Double Room 
It was always empty , you dont even have small bottles of water !","","Good Location 
The rooms are spacious","There is no Room Service after 10 pm ! it should be 24h or at least till late at night 
No Mini Bar in The Deluxe Double Room 
It was always empty , you dont even have small bottles of water !","",
"Kamla","United Kingdom","Solo traveller","8.3","Very good","15 July 2014","Nearly everything apart from the chruch bells on Sunday morning","The church bells. The noise was raelly bad in the morning and no free wifi as this seems standarad in most hotels now","","Nearly everything apart from the chruch bells on Sunday morning","The church bells. The noise was raelly bad in the morning and no free wifi as this seems standarad in most hotels now","",
"Oscar","Qatar","Couple","5","Passable","15 July 2014","Location","Bitter staff, not very friendly.
Request made on booking.com of certain type of bed or room, not really important for them. -This is what we have and if you don't like it, you can leave- attitude.
Not even complimentary water.
Empty minibar.
Hard for house keeping to replace the tiny soap bars and liquid soap and shampoo, on a daily basis.
Unconfortable mattress.","","Location","Bitter staff, not very friendly.
Request made on booking.com of certain type of bed or room, not really important for them. -This is what we have and if you don't like it, you can leave- attitude.
Not even complimentary water.
Empty minibar.
Hard for house keeping to replace the tiny soap bars and liquid soap and shampoo, on a daily basis.
Unconfortable mattress.","",
"Andrew","United Kingdom","Couple","4.6","Disappointing","14 July 2014","","Wi-fi is chargeable and then signal drops off. Very very expensive & slow for 24hr charge period.  Find another hotel with free wi-fi.","","","Wi-fi is chargeable and then signal drops off. Very very expensive & slow for 24hr charge period.  Find another hotel with free wi-fi.","",
"Darko","Macedonia","Couple","8.3","Very good","8 July 2014","Friendly staff","Absurdly ridiculous overpriced Internet 6eu/hour, we saw cookroach on the road, drinks at the lobby were overpriced.","","Friendly staff","Absurdly ridiculous overpriced Internet 6eu/hour, we saw cookroach on the road, drinks at the lobby were overpriced.","",
"Evangelos","Greece","Couple","6.3","Pleasant","2 July 2014","very good breakfast.
very good mattress.
polite staff.
good location.","small room.
there is wifi connection  but not free.
scarred carpeting","","very good breakfast.
very good mattress.
polite staff.
good location.","small room.
there is wifi connection  but not free.
scarred carpeting","",
"Gregory","Luxembourg","Couple","9.6","Exceptional","1 July 2014","","Wireless Connection. Price does Not reflect the quality","","","Wireless Connection. Price does Not reflect the quality","",
"Darragh","Ireland","Group of friends","6.3","Pleasant","1 July 2014","Location was convenient
Hotel rooms were in good condition","Very slow check in and in the wrong room type that was originally booked
Price was ok for room
Price of bar/internet/food too much, used internet elsewhere and had food elsewhere","","Location was convenient
Hotel rooms were in good condition","Very slow check in and in the wrong room type that was originally booked
Price was ok for room
Price of bar/internet/food too much, used internet elsewhere and had food elsewhere","",
"Betty","Ireland","Group of friends","7.5","Good","26 June 2014","Great hotel very convenient for getting aroun excellent breakfast rooms very comfortable only drawback having to pay for wifi","Paying for wifi","","Great hotel very convenient for getting aroun excellent breakfast rooms very comfortable only drawback having to pay for wifi","Paying for wifi","",
"Markus","Germany","Couple","8.8","Fabulous","24 June 2014","Bathroom and TV","","","Bathroom and TV","","",
"Katie","United Kingdom","Group of friends","8.3","Very good","22 June 2014","Nice clean hotel","It is a good 20minutes walk from the main shops and bars. But there is a team station just up the road that can take you straight into the main bit.","","Nice clean hotel","It is a good 20minutes walk from the main shops and bars. But there is a team station just up the road that can take you straight into the main bit.","",
"Bojan","Croatia","Family","10","Exceptional","17 June 2014","Breakfast excellent,
Rent a bike and You need 5 min to city center","","","Breakfast excellent,
Rent a bike and You need 5 min to city center","","",
"Alexander","Australia","Couple","7.9","Good","10 June 2014","All uP very good","Wifi was slow and most hotels don't charge for it","","All uP very good","Wifi was slow and most hotels don't charge for it","",
"Sarah","U.S.A.","Couple","6.3","Pleasant","7 June 2014","Clean. Nice shower. Comfortable bed. Some staff were helpful.","Breakfast not included for price. Bit of a walk from main city center/Alexanderplatz.","","Clean. Nice shower. Comfortable bed. Some staff were helpful.","Breakfast not included for price. Bit of a walk from main city center/Alexanderplatz.","",
"Jos","Netherlands","Couple","7.5","Good","5 June 2014","clean room, beds and showers, friendly staff, quite - no noises, nice breakfast with good assortiment of all that you want. Vendor machine with softdrinks, wine, beer and chocolats on every floor _","direct environment is boring, distance to Alexanderplatz is long to walk
hotel is warm, leaving some fresh air in is welcome","","clean room, beds and showers, friendly staff, quite - no noises, nice breakfast with good assortiment of all that you want. Vendor machine with softdrinks, wine, beer and chocolats on every floor _","direct environment is boring, distance to Alexanderplatz is long to walk
hotel is warm, leaving some fresh air in is welcome","",
"Jitish","India","Solo traveller","10","Exceptional","4 June 2014","It was a comfortable stay.","","","It was a comfortable stay.","","",
"David","United Kingdom","Couple","9.6","Exceptional","3 June 2014","Location good- within walking distance or a short tram ride from Alexanderplatz.","There's not much in terms of food or drink within the very near vicinity of the hotel, but plenty within a 10-15 min walk so it's fine.","","Location good- within walking distance or a short tram ride from Alexanderplatz.","There's not much in terms of food or drink within the very near vicinity of the hotel, but plenty within a 10-15 min walk so it's fine.","",
"Zeynep","Turkey","Solo traveller","7.5","Good","27 May 2014","House keeping","Reception should smile often.","","House keeping","Reception should smile often.","",
"Gerard","Ireland","Couple","7.1","Good","18 May 2014","The breakfast was good","The price of the internet or wifi, or the lack of it, priced at 17€ a day or something along them lines.","","The breakfast was good","The price of the internet or wifi, or the lack of it, priced at 17€ a day or something along them lines.","",
"Gerald","United Kingdom","Couple","10","Exceptional","15 May 2014","Standard of service very good- our room had been doubled booked & staff were very apologetic & made alternative arrangements for 1 night & the remaining 4 nights we received an upgraded room, free wi-fi . Excellent buffet breakfast & good quiet location","Unfortunately on arrival to be told that our room had been overbooked after a tiring journey. Although we understand that these things do happen & we were happy with the compensation we recieved.","","Standard of service very good- our room had been doubled booked & staff were very apologetic & made alternative arrangements for 1 night & the remaining 4 nights we received an upgraded room, free wi-fi . Excellent buffet breakfast & good quiet location","Unfortunately on arrival to be told that our room had been overbooked after a tiring journey. Although we understand that these things do happen & we were happy with the compensation we recieved.","",
"David","United Kingdom","Solo traveller","10","Exceptional","11 May 2014","staff knew where I should go, very helpful. Simple walk to bars and to town centre.","","","staff knew where I should go, very helpful. Simple walk to bars and to town centre.","","",
"Raymond","United Kingdom","Couple","9.2","Superb","10 May 2014","Excellent breakfast!","Internet access not free unless you signed up or their loyalty card, otherwise by the hour/day.
Also internet connect failed for last 4 our of 8 days and could not be resolved!","","Excellent breakfast!","Internet access not free unless you signed up or their loyalty card, otherwise by the hour/day.
Also internet connect failed for last 4 our of 8 days and could not be resolved!","",
"Minna","Finland","Family","8.8","Fabulous","7 May 2014","Breakfast was excellent with a lot of different sorts. The sauna (normal and steam) were relaxing on the top floor. The room was spacious and very clean. Also the refrigerator and the water cooker in the room were useful. Quite near Alexanderplatz - a couple of stops with bus or tram.","There was no door in front of the bathtub and shower - you could see from the bed straight into shower.","","Breakfast was excellent with a lot of different sorts. The sauna (normal and steam) were relaxing on the top floor. The room was spacious and very clean. Also the refrigerator and the water cooker in the room were useful. Quite near Alexanderplatz - a couple of stops with bus or tram.","There was no door in front of the bathtub and shower - you could see from the bed straight into shower.","",
"Jennifer","United Kingdom","Group of friends","8.8","Fabulous","6 May 2014","Amazing bed","No door on the shower
No toothpaste provided 
No free wifi","","Amazing bed","No door on the shower
No toothpaste provided 
No free wifi","",
"Sanja","Germany","Couple","8.8","Fabulous","30 April 2014","Good location. We were upgraded with the room and liked it.","","","Good location. We were upgraded with the room and liked it.","","",
"Sarah","Luxembourg","Group of friends","8.3","Very good","24 April 2014","Location, friendly staff, laid back, quiet. Very nice huge park nearby.","No (free) wifi. Thought that was pretty much a given in hotels/bars/restaurants these days so I was quiet surprised! The cost of Internet was very high.","","Location, friendly staff, laid back, quiet. Very nice huge park nearby.","No (free) wifi. Thought that was pretty much a given in hotels/bars/restaurants these days so I was quiet surprised! The cost of Internet was very high.","",
"Jørgen","Denmark","Group of friends","10","Exceptional","23 April 2014","","When I booked the rooms, it seemed as if there was free wifi in all rooms, but it was not so. 6 Euro per hour seems not a fair price.","","","When I booked the rooms, it seemed as if there was free wifi in all rooms, but it was not so. 6 Euro per hour seems not a fair price.","",
"Susan","Germany","Family","9.2","Superb","17 April 2014","Great location, a short walk to trains and trams. Central to  the walking tour commencement points that we had booked would recommend to friends and definitely stay again","No free wifi in rooms","","Great location, a short walk to trains and trams. Central to  the walking tour commencement points that we had booked would recommend to friends and definitely stay again","No free wifi in rooms","",
"Vanessa","United Kingdom","Couple","7.5","Good","16 April 2014","Good location, loved the hot sauna","The sauna was closed during the day :(","","Good location, loved the hot sauna","The sauna was closed during the day :(","",
"Rui","United Kingdom","Group of friends","8.3","Very good","15 April 2014","good service and delicious food. Location is great, not very far away from city centre.","No slippers and no free wifi","","good service and delicious food. Location is great, not very far away from city centre.","No slippers and no free wifi","",
"Martyn","United Kingdom","Couple","8.8","Fabulous","12 April 2014","Great location to visit sites in the city, friendly area, good transport links. Staff helpful. Good room with modern fittings.","Wi-Fi expensive and no reply when trying to join hotel membership scheme.","","Great location to visit sites in the city, friendly area, good transport links. Staff helpful. Good room with modern fittings.","Wi-Fi expensive and no reply when trying to join hotel membership scheme.","",
"Kimberley","Ireland","Group of friends","8.3","Very good","10 April 2014","Beautiful modern hotel in a great location. 
Comfortable bed and lovely shower. 
We found one staff member "jasmine" extremely helpful, kind,mannerly and very professional. She went out of her way to get a map and show us good places to go to. She deserves extra appreciation!! Great attitude!! 10/10!!","The other ladies working in the bar (not jasmine) were rude unhelpful and had a bad attitude! They did not make us feel welcome and seemed unhappy to be there! 
Face cloths should be provided in the room free of charge. 
More milk and coffee should be provided in the room also.","","Beautiful modern hotel in a great location. 
Comfortable bed and lovely shower. 
We found one staff member "jasmine" extremely helpful, kind,mannerly and very professional. She went out of her way to get a map and show us good places to go to. She deserves extra appreciation!! Great attitude!! 10/10!!","The other ladies working in the bar (not jasmine) were rude unhelpful and had a bad attitude! They did not make us feel welcome and seemed unhappy to be there! 
Face cloths should be provided in the room free of charge. 
More milk and coffee should be provided in the room also.","",
"Michael","Ireland","Group of friends","6.7","Pleasant","9 April 2014","Great roof top gym and sauna area.","I booked a junior suite at the hotel and was very disappointed with the size of the room. And the very small windows in the room.","","Great roof top gym and sauna area.","I booked a junior suite at the hotel and was very disappointed with the size of the room. And the very small windows in the room.","",
"Georgios","Greece","Couple","10","Exceptional","9 April 2014","Very good breakfast","","","Very good breakfast","","",
"Samantha","United Kingdom","Family","9.6","Exceptional","1 April 2014","The location. The helpful Concierge. We wouldn't have been able to have visited as many places without her help and expert knowledge on Berlin.  
The beds are very comfortable. The hotel is very clean.","One of the bar staff (female) was a bit miserable and rude.  Whispering to other staff members about us.","","The location. The helpful Concierge. We wouldn't have been able to have visited as many places without her help and expert knowledge on Berlin.  
The beds are very comfortable. The hotel is very clean.","One of the bar staff (female) was a bit miserable and rude.  Whispering to other staff members about us.","",
"Ian","United Kingdom","Couple","10","Exceptional","26 March 2014","The staff were brilliant, we are an English speaking couple and we really appreciated the fact that the staff spoke English too. The location was perfect,  and in walking distance to many desirable destinations. The room was beautiful and exceptionally clean. We would most definitely stay here again.","","","The staff were brilliant, we are an English speaking couple and we really appreciated the fact that the staff spoke English too. The location was perfect,  and in walking distance to many desirable destinations. The room was beautiful and exceptionally clean. We would most definitely stay here again.","","",
"Vi","United Kingdom","Couple","9.6","Exceptional","22 March 2014","the female concierge was especially helpful in giving us advice and directions during our stay","open plan bathroom - no door","","the female concierge was especially helpful in giving us advice and directions during our stay","open plan bathroom - no door","",
"Marina","Russia","Couple","9.2","Superb","14 March 2014","The hotel is situated very close to he sity center. However we mainly booked it for je reason of being close to Prenzlauerberg.
There is a DB bike sharing station nearby so this is very easy to go to other parts of Berlin.","The internet access is not working in the rooms so no really need to pay for it.","","The hotel is situated very close to he sity center. However we mainly booked it for je reason of being close to Prenzlauerberg.
There is a DB bike sharing station nearby so this is very easy to go to other parts of Berlin.","The internet access is not working in the rooms so no really need to pay for it.","",
"Edwin","Iceland","Solo traveller","9.2","Superb","11 March 2014","Very friendly staff
Nice rooms, well equipped","Was a little further from Alexanderplatz then expected","","Very friendly staff
Nice rooms, well equipped","Was a little further from Alexanderplatz then expected","",
"Nicolas","United Kingdom","Couple","5","Passable","7 March 2014","","The fact that we purchased two rooms and these were given away before we arrived.
Moving to one suite wasn't appropriate as there was only one double bed.
Very disappointed and won't stay at Leonardo in future trips to Berlin.","","","The fact that we purchased two rooms and these were given away before we arrived.
Moving to one suite wasn't appropriate as there was only one double bed.
Very disappointed and won't stay at Leonardo in future trips to Berlin.","",
"Louise","Ireland","Couple","6.3","Pleasant","24 February 2014","Good location. 
Concierge available 
Nice bar and bright reception","Withholding money on my card and still being withheld after few days of leaving the hotel.","","Good location. 
Concierge available 
Nice bar and bright reception","Withholding money on my card and still being withheld after few days of leaving the hotel.","",
"Carol","United Kingdom","Family","9.2","Superb","22 February 2014","The room layout was good and very spacious yet cosy too.  the beds very comfortable and the rotating television for bed/lounge area, was a great idea.  like the fridge in room and also the computer/printer access and breakfast/bar lounge, very relaxed.  flavoured water available in the foyer at all times. vending machines with chocolate and drinks.","having to leave...","","The room layout was good and very spacious yet cosy too.  the beds very comfortable and the rotating television for bed/lounge area, was a great idea.  like the fridge in room and also the computer/printer access and breakfast/bar lounge, very relaxed.  flavoured water available in the foyer at all times. vending machines with chocolate and drinks.","having to leave...","",
"Brian","United Kingdom","Family","7.5","Good","22 February 2014","Comfy beds. Good choice at breakfast.
Easy walk into Alexanderplatz or take the tram.Tram stop by hotel.Trains and trams were simple to use.","Wifi charges were really expensive.","","Comfy beds. Good choice at breakfast.
Easy walk into Alexanderplatz or take the tram.Tram stop by hotel.Trains and trams were simple to use.","Wifi charges were really expensive.","",
"Michael","United Kingdom","Couple","8.3","Very good","9 February 2014","Staff very helpful, breakfasts good for variety and quality.","Bedroom needed redecorating.","","Staff very helpful, breakfasts good for variety and quality.","Bedroom needed redecorating.","",
"Jack","United Kingdom","Solo traveller","9.2","Superb","4 February 2014","To be honest I liked all of it. Big room very comfy. Would definately stay there again.","","","To be honest I liked all of it. Big room very comfy. Would definately stay there again.","","",
"Jean","U.S.A.","Solo traveller","7.5","Good","4 February 2014","Room was very clean and well-appointed. The location is good -- the block itself isn't inspiring, but it is close to Prenzlauer Berg and Alexanderplatz, as well as Volkspark Friedrichshain.","Internet is really expensive. I think it was 18 euros for more than 256 kbs. Surely this is a basic amenity for travellers in 2014? I'd factor this in to my budget next time in Berlin and possibly choose another hotel as a result, since this negated the apparent savings on the per-night rate.","","Room was very clean and well-appointed. The location is good -- the block itself isn't inspiring, but it is close to Prenzlauer Berg and Alexanderplatz, as well as Volkspark Friedrichshain.","Internet is really expensive. I think it was 18 euros for more than 256 kbs. Surely this is a basic amenity for travellers in 2014? I'd factor this in to my budget next time in Berlin and possibly choose another hotel as a result, since this negated the apparent savings on the per-night rate.","",
"Kirsten","Netherlands","Couple","2.5","Very poor","21 January 2014","","Planned a trip to Berlin for Bread and Butter. We came to Europe all the way from Bali where we live. Would have loved to stay here however, my father in went into hospital and unfortunately we are now preparing for his farewell. After paying close to 900 euros for a room we never used. We got no sympathy, no chance to reschedule not even an apology for not receiving any kind of refund! Actually, all we got was no! Hope you all had a good time on us! Wish I had something nice to say about your hotel and your management but, I do not!","","","Planned a trip to Berlin for Bread and Butter. We came to Europe all the way from Bali where we live. Would have loved to stay here however, my father in went into hospital and unfortunately we are now preparing for his farewell. After paying close to 900 euros for a room we never used. We got no sympathy, no chance to reschedule not even an apology for not receiving any kind of refund! Actually, all we got was no! Hope you all had a good time on us! Wish I had something nice to say about your hotel and your management but, I do not!","",
