"Name","Country","Traveler Type","Score","Score Explanation","Date","Pros","Cons","Response","Pros Original","Cons Original","Response Original"
"Yasser","Germany","","8.8","Fabulous","6 July 2014","Location was great and the staff were friendly","They should think about renovating the windows, especially considering the hotel's proximity to the S-Bahn station.","","Location was great and the staff were friendly","They should think about renovating the windows, especially considering the hotel's proximity to the S-Bahn station.","",
"Kristaps","Latvia","","8.3","Very good","26 June 2014","Just 4 blocks from the Kurfurstendamm which is cool. Another great feature is a car parking in the yard.","No WiFi in the room!!","","Just 4 blocks from the Kurfurstendamm which is cool. Another great feature is a car parking in the yard.","No WiFi in the room!!","",
"Alicja","Poland","","10","Exceptional","21 June 2014","Very good location, friendly staff, clean - everything PERFECT!!!!","","","Very good location, friendly staff, clean - everything PERFECT!!!!","","",
"Nikola","Bulgaria","","9.2","Superb","18 June 2014","The location of the hotel is great. The room was extremely clean.","I'm not sure abouth the bathroom decision but for several days I can deal with that.","","The location of the hotel is great. The room was extremely clean.","I'm not sure abouth the bathroom decision but for several days I can deal with that.","",
"Yan","Switzerland","","10","Exceptional","17 June 2014","In a very nice community in ex western Berlin. Lots of book stores, restaurants and cafe nearby, very local. Room clean and spacious. Very good value for money","","","In a very nice community in ex western Berlin. Lots of book stores, restaurants and cafe nearby, very local. Room clean and spacious. Very good value for money","","",
"Jan","Poland","","9.6","Exceptional","12 June 2014","2 minutes walk to the S-Bahn, clean and quiet room despite the nearby railway, well working air-condition, very polite staff, lots of nice restaurants around","","","2 minutes walk to the S-Bahn, clean and quiet room despite the nearby railway, well working air-condition, very polite staff, lots of nice restaurants around","","",
"James","U.S.A.","","9.2","Superb","10 June 2014","On-site parking.","1) Expensive breakfast. 
2) Our room on the sunset side was super hot in the evening. Whenever we left the room, we had to remove the key card that left the air conditioning going. This made the room super hot.","","On-site parking.","1) Expensive breakfast. 
2) Our room on the sunset side was super hot in the evening. Whenever we left the room, we had to remove the key card that left the air conditioning going. This made the room super hot.","",
"Vicol","Czech Republic","","10","Exceptional","6 June 2014","great hotel and great price.thank you!!!","","","great hotel and great price.thank you!!!","","",
"Lauren","Netherlands","","7.5","Good","4 June 2014","The bed, air conditioning and English tv channels were really nice. Even though there were only two English channels.","That in the picture our room came with a bath, but when we arrived there was only a shower. When we asked to switch rooms they said they were all full.","","The bed, air conditioning and English tv channels were really nice. Even though there were only two English channels.","That in the picture our room came with a bath, but when we arrived there was only a shower. When we asked to switch rooms they said they were all full.","",
"Nathalie","Ireland","","10","Exceptional","12 May 2014","Very good location, near to public transports. The room was very clean and the staff friendly. It is worth it to try the breakfast!","","","Very good location, near to public transports. The room was very clean and the staff friendly. It is worth it to try the breakfast!","","",
"Tomasz","Poland","","7.1","Good","23 April 2014","excellent breakfast, good location, friendly staff, nice design of the rooms","lack of privacy in the bathrooms (they are not separate room but are in the same room only separated by glass wall), no wi-fi coverage in rooms, windows are very close to railway","","excellent breakfast, good location, friendly staff, nice design of the rooms","lack of privacy in the bathrooms (they are not separate room but are in the same room only separated by glass wall), no wi-fi coverage in rooms, windows are very close to railway","",
"Paulina","Poland","","8.8","Fabulous","10 April 2014","The staff members were very helpful, nice and willing to answer any questions regarding transport and places worth-visiting while in Berlin.","","","The staff members were very helpful, nice and willing to answer any questions regarding transport and places worth-visiting while in Berlin.","","",
"Herman","Netherlands","","9.6","Exceptional","15 March 2014","Really good staff, well furnished rooms, with efficient usage of space. Overall a really good hotel, I stayed there twice, location is perfect and the rooms are perfect","Pillows are not so good, I felt like I was lying on the mattress","","Really good staff, well furnished rooms, with efficient usage of space. Overall a really good hotel, I stayed there twice, location is perfect and the rooms are perfect","Pillows are not so good, I felt like I was lying on the mattress","",
"Evangelos","Greece","","9.2","Superb","26 February 2014","The staff was very polite and helphul. The room was very clean and had a beautiful style. There were a lot of good restaurants nearby and it is really easy to commute.","We could not access the WiFi in our room (poor signal) and there was a little noise from the trains.","","The staff was very polite and helphul. The room was very clean and had a beautiful style. There were a lot of good restaurants nearby and it is really easy to commute.","We could not access the WiFi in our room (poor signal) and there was a little noise from the trains.","",
"Rhiannon","United Kingdom","","10","Exceptional","25 February 2014","Very close to S-Bahn, 10min journey to the centre of Berlin. Clean and modern. Very helpful and pleasant staff.","Breakfast was expensive so we ate out.","","Very close to S-Bahn, 10min journey to the centre of Berlin. Clean and modern. Very helpful and pleasant staff.","Breakfast was expensive so we ate out.","",
"Georgios","Greece","","9.2","Superb","10 February 2014","Very nice hotel, quite despite its location by the railway. Comfortable and modern rooms, friendly staff, good service, perfect location - being short walking distance from K-dam! We liked it a lot!
George, Athens, Greece","","","Very nice hotel, quite despite its location by the railway. Comfortable and modern rooms, friendly staff, good service, perfect location - being short walking distance from K-dam! We liked it a lot!
George, Athens, Greece","","",
"Sergiy","Germany","","8.3","Very good","5 February 2014","Location
Rooms","The elevator didn't work","","Location
Rooms","The elevator didn't work","",
"Kirill","Russia","","8.3","Very good","13 January 2014","Large and clean room, big and soft bed.","A bit remote from center, but still okay. Located near metro line, but it's not disturbing.","","Large and clean room, big and soft bed.","A bit remote from center, but still okay. Located near metro line, but it's not disturbing.","",
"Martina","Slovakia","","10","Exceptional","3 January 2014","very modern hotel
breakfast were great
didn't really hear the train
easy to get to the train and get to the city","","","very modern hotel
breakfast were great
didn't really hear the train
easy to get to the train and get to the city","","",
"Arina","Ukraine","","10","Exceptional","22 December 2013","all good!","","","alles gut!","","",
"Utsanee","Thailand","","7.1","Good","11 December 2013","Nice room
Very good location","No Internet in d room
Uncomfy pillow","","Nice room
Very good location","No Internet in d room
Uncomfy pillow","",
"João","Portugal","","6.7","Pleasant","11 December 2013","1. Cost-quality
2. Staff","3. Location although the magnificient transport lan to everywhere every minute","","1. Cost-quality
2. Staff","3. Location although the magnificient transport lan to everywhere every minute","",
"Ben","United Kingdom","","6.7","Pleasant","30 November 2013","Rooms were nice and clean and updated.","Nothing in hotel. Tiny little bar.","","Rooms were nice and clean and updated.","Nothing in hotel. Tiny little bar.","",
"Kirk","United Kingdom","","7.5","Good","26 November 2013","Clean Modern room
Comfortable and spacious.","Toilet area a little too exposed, although there was a screen separating the sleeping area from the bathroom area it felt openplan which was a little uncomfortable.","","Clean Modern room
Comfortable and spacious.","Toilet area a little too exposed, although there was a screen separating the sleeping area from the bathroom area it felt openplan which was a little uncomfortable.","",
"Anne-leena","Finland","","8.8","Fabulous","25 November 2013","The breakfast is absolutely worth the extra 10 euros.
Superclean!
Close to S-bahn station. The railway is close but the noice didn't wake you up in the night.","The open bathroom","","The breakfast is absolutely worth the extra 10 euros.
Superclean!
Close to S-bahn station. The railway is close but the noice didn't wake you up in the night.","The open bathroom","",
"Tereza","Czech Republic","","9.6","Exceptional","22 November 2013","friendly and helpful staff, 
nice, modern and clean room
parking space,
near the public transport station","","","friendly and helpful staff, 
nice, modern and clean room
parking space,
near the public transport station","","",
"Kristina","Czech Republic","","9.2","Superb","4 November 2013","Friendly staff
Tasty breakfast
Perfect location at the city centre
Cleanliness","As mentioned in other comments, the bathroom right inside room doesn't provide any privacy at all.","","Friendly staff
Tasty breakfast
Perfect location at the city centre
Cleanliness","As mentioned in other comments, the bathroom right inside room doesn't provide any privacy at all.","",
"Gregory","United Kingdom","","8.3","Very good","29 October 2013","Very easy to get to from airport, good quiet location though close to railway lines, but not too disturbing. Excellent choice of restaurants within walking distance. Easy walk to Tiegarten & City centre","Walls were a bit thin, we could hear the incessant coughing from next door. Also lift didn't work so we had to walk six flights; didn't bother us but some guests may find it difficult","","Very easy to get to from airport, good quiet location though close to railway lines, but not too disturbing. Excellent choice of restaurants within walking distance. Easy walk to Tiegarten & City centre","Walls were a bit thin, we could hear the incessant coughing from next door. Also lift didn't work so we had to walk six flights; didn't bother us but some guests may find it difficult","",
"Arina","Ukraine","","10","Exceptional","28 October 2013","It is not the first time when i stop in this hotel and I like everything about it. everything is good to me. Comfortably, purely. Good breakfasts.","","","It is not the first time when i stop in this hotel and I like everything about it. everything is good to me. Comfortably, purely. Good breakfasts.","","",
"Asis","India","","9.2","Superb","23 October 2013","Excellent location waliking distance from S Bahn plenty choices of eating joints of various natures very close by.","Monotony of breakfast menu","","Excellent location waliking distance from S Bahn plenty choices of eating joints of various natures very close by.","Monotony of breakfast menu","",
"Dimitar","Bulgaria","","7.1","Good","18 October 2013","excellent location","too noisy - near the S-Bahn
when making the reservation I had a special request - to be as far as possible away from the S-Bahn and it was not fulfilled","","excellent location","too noisy - near the S-Bahn
when making the reservation I had a special request - to be as far as possible away from the S-Bahn and it was not fulfilled","",
"Dragos","Romania","","9.2","Superb","12 October 2013","neighbourhood, great restaurants around, breakfast, room, staff.","a little noisy cause of the close train tracks.","","neighbourhood, great restaurants around, breakfast, room, staff.","a little noisy cause of the close train tracks.","",
"Elsa","Sweden","","10","Exceptional","18 September 2013","the price, the breakfast buffet, nice staff, comfortable beds","No door into bathroom.","","the price, the breakfast buffet, nice staff, comfortable beds","No door into bathroom.","",
"Johan","Sweden","","10","Exceptional","18 September 2013","The staff were very friendly. They had a very good breakfast which was
worth the 10 euro. Close to Berlin city","","","The staff were very friendly. They had a very good breakfast which was
worth the 10 euro. Close to Berlin city","","",
"Anna","Russia","","9.2","Superb","17 September 2013","Nice room, staff and breakfast, private parking (cost 8 euro).","No internet in rooms and breakfast area. Only in lobby.","","Nice room, staff and breakfast, private parking (cost 8 euro).","No internet in rooms and breakfast area. Only in lobby.","",
"Michal","Poland","","7.1","Good","11 September 2013","Location
Location
Location","Train tracks nearby - might be very loud if you're not used to it
Show stopper: no internet access in the rooms.","","Location
Location
Location","Train tracks nearby - might be very loud if you're not used to it
Show stopper: no internet access in the rooms.","",
"Christos","Sweden","","8.8","Fabulous","5 September 2013","Very modern and fresh room. Really clean. Nice furniture. Parking available. Friendly and helpful staff. Central location with good public transportation.","No wi-fi in the rooms, quite long to the lobby there wi-fi is available (libby is at a separate building). No fridge and no balcony","","Very modern and fresh room. Really clean. Nice furniture. Parking available. Friendly and helpful staff. Central location with good public transportation.","No wi-fi in the rooms, quite long to the lobby there wi-fi is available (libby is at a separate building). No fridge and no balcony","",
"Łukasz","Poland","","6.7","Pleasant","23 August 2013","The hotel is situated near Kurfursterdamm Street (10mins walk) and near SBahn station Savignyplatz (3mins walk). There are many restaurants and cafes nearby - and they are cheaper than in the city center. Really tasty and various breakfast.","It is situated near railway track and you need to close the window if you want to sleep well. There is a good air-conditioning so it wasn't a problem, so it wasn't a problem in the summer, but I don't know what about the winter. I couldn't connect to the Internet, neither in the room, nor near the reception. There was no hot water in the last morning so I couldn't take a shower, but I got a 20-euro discount because of that.","","The hotel is situated near Kurfursterdamm Street (10mins walk) and near SBahn station Savignyplatz (3mins walk). There are many restaurants and cafes nearby - and they are cheaper than in the city center. Really tasty and various breakfast.","It is situated near railway track and you need to close the window if you want to sleep well. There is a good air-conditioning so it wasn't a problem, so it wasn't a problem in the summer, but I don't know what about the winter. I couldn't connect to the Internet, neither in the room, nor near the reception. There was no hot water in the last morning so I couldn't take a shower, but I got a 20-euro discount because of that.","",
"Hrvoje","Croatia","","8.3","Very good","22 August 2013","Clean, good beds and overall decoration, near S bahn station, garage","Transparent bathroom walls, a bit far from U bahn stations, no wifi on top floor","","Clean, good beds and overall decoration, near S bahn station, garage","Transparent bathroom walls, a bit far from U bahn stations, no wifi on top floor","",
"Julia","Russia","","6.3","Pleasant","15 August 2013","Good location, near Savigny platz
Clean room","Railway in the near of the windows of the Hotel
Unfriendly blond women at the reception
No wall between bedroom and bathroom
Steps at the entrance (hard to go inside with suitcases)","","Good location, near Savigny platz
Clean room","Railway in the near of the windows of the Hotel
Unfriendly blond women at the reception
No wall between bedroom and bathroom
Steps at the entrance (hard to go inside with suitcases)","",
"Jose","Australia","","8.3","Very good","12 August 2013","The rooms looks relatively new.
- the room was cleaned and the towels refreshed everyday
- we loved the breakfast (despite you have to pay for it)
- walking distance to metro station
- The staff was very helpfull and friendly
- fruit at the reception
- I would stay there again","you have to pay an extra for having breakfast
- no free internet in the rooms
- the location is not quite close to the main atraction, you need to take the metro (10 mins), however this allow the hotel to offer low rates.
- the separation between the bathroom and the room is not totally hermetic which may be unconfotable for some couples.",""," The rooms looks relatively new.
- the room was cleaned and the towels refreshed everyday
- we loved the breakfast (despite you have to pay for it)
- walking distance to metro station
- The staff was very helpfull and friendly
- fruit at the reception
- I would stay there again"," you have to pay an extra for having breakfast
- no free internet in the rooms
- the location is not quite close to the main atraction, you need to take the metro (10 mins), however this allow the hotel to offer low rates.
- the separation between the bathroom and the room is not totally hermetic which may be unconfotable for some couples.","",
"Ausnat","Israel","","9.2","Superb","24 August 2014","","","","","","",
"Elaheh","United Kingdom","","8.3","Very good","5 October 2014","","","","","","",
"Victoria","Japan","","8.8","Fabulous","23 September 2014","","","","","","",
"Siyu","Poland","","7.5","Good","31 August 2014","","","","","","",
"Ali","Canada","","4.2","Disappointing","3 July 2014","","","","","","",
"Barbara","Slovakia","","7.9","Good","29 June 2014","","","","","","",
"Ervins","Latvia","","7.5","Good","26 June 2014","","","","","","",
"Adinko","Bulgaria","","10","Exceptional","9 June 2014","","","","","","",
"Mark","United Kingdom","","9.2","Superb","13 May 2014","","","","","","",
"Martina","Czech Republic","","9.6","Exceptional","6 May 2014","","","","","","",
"Shasha","United Kingdom","","7.5","Good","13 March 2014","","","","","","",
"Dan","Poland","","7.9","Good","24 November 2013","","","","","","",
"Anonymous","United Kingdom","","8.8","Fabulous","18 September 2014","","Internet connection almost doesnt exist and no cables available.","","","Internet connection almost doesnt exist and no cables available.","",
"Anonymous","Bulgaria","","9.2","Superb","15 July 2014","Great neighbourhood with many restaurants and shops around, a safe and beautiful part of Berlin. Spacious clean new rooms. Good city transport connections. Good sound insulation, despite the proximity to the S-bahn railways. Really a great budget  hotel for a visit to Berlin.","Quite a weird bathroom/ WC area solution - no privacy. But for family members one could live with that. The reception and the corridors are a bit smelly and shabby, but when you enter the room, the situation changes and the rooms are new and spacious.","","Great neighbourhood with many restaurants and shops around, a safe and beautiful part of Berlin. Spacious clean new rooms. Good city transport connections. Good sound insulation, despite the proximity to the S-bahn railways. Really a great budget  hotel for a visit to Berlin.","Quite a weird bathroom/ WC area solution - no privacy. But for family members one could live with that. The reception and the corridors are a bit smelly and shabby, but when you enter the room, the situation changes and the rooms are new and spacious.","",
"Anonymous","Canada","","8.8","Fabulous","13 July 2014","It was in a good location, was very clean and the staff were friendly.","Access to the garage was difficult. The bathroom floor was filled with water after showering.","","It was in a good location, was very clean and the staff were friendly.","Access to the garage was difficult. The bathroom floor was filled with water after showering.","",
"Anonymous","Australia","","6.7","Pleasant","13 July 2014","Close to everything easy to find great food   Will see you again next","A bit close to train noise 
The other all good","","Close to everything easy to find great food   Will see you again next","A bit close to train noise 
The other all good","",
"Anonymous","Germany","","8.3","Very good","2 July 2014","~ well located
~ close to subway and train station
~ rooms have been clean","~ staff seemed ennoyed be every request, not motivated
~ "open" toilette not everyone's taste","","~ well located
~ close to subway and train station
~ rooms have been clean","~ staff seemed ennoyed be every request, not motivated
~ "open" toilette not everyone's taste","",
"Anonymous","Sweden","","6.7","Pleasant","29 June 2014","Friendly staff","Noise from S-bahn","","Friendly staff","Noise from S-bahn","",
"Anonymous","Germany","","7.5","Good","15 June 2014","A TKmaxx nearby. The transportation is convenient, because it is near the train station.","Also because it is near the train station, you can hear the laud noise every time a train passes by at night. It is about every 5
Minutes, not very good for sleeping. And there is no real door between the bathroom and the bedroom.","","A TKmaxx nearby. The transportation is convenient, because it is near the train station.","Also because it is near the train station, you can hear the laud noise every time a train passes by at night. It is about every 5
Minutes, not very good for sleeping. And there is no real door between the bathroom and the bedroom.","",
"Anonymous","Lithuania","","8.3","Very good","10 June 2014","Very easy access from motorway - perfect for one night stop. Many restaurants, bars, cafes around.Cosy, clean modern interior rooms.","Hotel is almost on the train rail (didn't bother us much since windows are soundproof). Hotel's bartender leaves early and a receptionist who doesn't even know how to make gin n tonic.  overtakes his duties.","","Very easy access from motorway - perfect for one night stop. Many restaurants, bars, cafes around.Cosy, clean modern interior rooms.","Hotel is almost on the train rail (didn't bother us much since windows are soundproof). Hotel's bartender leaves early and a receptionist who doesn't even know how to make gin n tonic.  overtakes his duties.","",
"Anonymous","Canada","","8.8","Fabulous","18 May 2014","Bed are super comfy, located right by the train so it's quick to get downtown.","No wifi in rooms, train is loud when it passes by every 10 mins","","Bed are super comfy, located right by the train so it's quick to get downtown.","No wifi in rooms, train is loud when it passes by every 10 mins","",
"Anonymous","Poland","","9.2","Superb","14 March 2014","The room was very nice, breakfast was good to. Localization is really good, almost next to city train. There are many nice restaurants around. We really recommend this hotel!","","","The room was very nice, breakfast was good to. Localization is really good, almost next to city train. There are many nice restaurants around. We really recommend this hotel!","","",
"Anonymous","China","","6.7","Pleasant","17 February 2014","very good location, value for money and clean facilities.","Some of staff needs more training and manners how to talk and treat customers","","very good location, value for money and clean facilities.","Some of staff needs more training and manners how to talk and treat customers","",
"Anonymous","South Korea","","7.5","Good","27 January 2014","location
price","","","location
price","","",
"Anonymous","Germany","","5.8","Okay","26 January 2014","The designs of the rooms","It's sits directly on the rails,so you here the trains all day and night.
The rooms are clean, but the hall looks very poor and unkempt","","The designs of the rooms","It's sits directly on the rails,so you here the trains all day and night.
The rooms are clean, but the hall looks very poor and unkempt","",
"Anonymous","Germany","","7.5","Good","1 December 2013","clean rooms
- nice staff
- very good price","too near at the railway line and therefore very noisy in the room
- open bathroom with just a toilet room door",""," clean rooms
- nice staff
- very good price"," too near at the railway line and therefore very noisy in the room
- open bathroom with just a toilet room door","",
"Anonymous","Czech Republic","","10","Exceptional","17 September 2013","Not far from The city center","Bathrom","","Not far from The city center","Bathrom","",
"Anonymous","Australia","","8.8","Fabulous","25 August 2013","comfortable bed. clean and fresh","lift to lobby not working. Wish there was an electric jug to make a cup of tea","","comfortable bed. clean and fresh","lift to lobby not working. Wish there was an electric jug to make a cup of tea","",
"Anonymous","Romania","","9.2","Superb","16 August 2013","clean and spacious room; looks a lot better than what you expect from the outside
- nice staff
- very close to Kurfürstendamm shopping street
- good value for money","the noise of the train
- the glass door between the bathroom and the room",""," clean and spacious room; looks a lot better than what you expect from the outside
- nice staff
- very close to Kurfürstendamm shopping street
- good value for money"," the noise of the train
- the glass door between the bathroom and the room","",
"Anonymous","Poland","","8.3","Very good","28 August 2014","","","","","","",
"Anonymous","Czech Republic","","8.8","Fabulous","15 July 2014","","","","","","",
"Anonymous","Russia","","9.6","Exceptional","13 July 2014","","","","","","",
"Anonymous","Germany","","8.3","Very good","3 July 2014","","","","","","",
"Anonymous","Czech Republic","","7.5","Good","3 May 2014","","","","","","",
"Anonymous","Latvia","","7.5","Good","3 April 2014","","","","","","",
"Anonymous","United Kingdom","","9.2","Superb","23 March 2014","","","","","","",
"Anonymous","Germany","","5.8","Okay","9 December 2013","","","","","","",
"Reiner","Germany","","8.8","Fabulous","12 October 2014","Rooms with good facilities
Clean bathroom with effective design
Friendly service
Very good breakfast
Immaculate price performance","Faulty elevator (even longer?), The second elevator in the neighboring house, awkward.","","Zimmer mit guter Einrichtung
Sauberes Bad mit effektiver Gestaltung
Freundlicher Service
Sehr gutes Frühstück
Einwandfreier Preis zur Leistung","Defekter Aufzug (schon länger?), zweiter Aufzug im Nebenhaus, umständlich.","",
"Juliana","Brazil","","7.5","Good","5 October 2014","Easy to train, excellent cost very next season.","WiFi did not work in the room. As it is very close to the train station, there was the sound of the trains even at dawn.","","Facilidade com estação de trem muito próxima, excelente custo.","WiFi não funcionou no quarto. Como é muito próxima da estação de trem, houve o som dos trens inclusive na madrugada.","",
"Willi","Switzerland","","8.3","Very good","29 September 2014","Location near Savigny Platz S-Bahn. Very quiet. Good indoor climate. Nice bathroom. Rich breakfast buffet.","WiFi only in the lobby, not in the room.","","Lage Nähe S-Bahn Savignyplatz. Sehr ruhig. Gutes Raumklima. Schönes Badezimmer. Reichhaltiges Frühstücksbuffet.","WLan nur in der Lobby, nicht im Zimmer.","",
"Мария","Russia","","6.7","Pleasant","20 September 2014","","Very noisy, next goes to train.","","","Очень шумно, рядом ходит электричка.","",
"Wolfgang","Germany","","7.5","Good","7 September 2014","Conveniently located near Savigny Platz
- Attentive, helpful staff
- Leaving aside the fundamental stumbling block with the fair premiums in most hotels, so the surcharge (IFA) remained relatively moderate here","Even with the windows closed relatively noisy due to its location between (S) railway line and road head",""," Günstige Lage nahe Savignyplatz
- Aufmerksames, hilfsbereites Personal
- Sieht man einmal vom grundsätzlichen Ärgernis mit den Messeaufschlägen in den meisten Hotels ab, so blieb der Zuschlag hier (Funkausstellung) relativ moderat"," Auch bei geschlossenen Fenstern relativ laut wegen der Lage zwischen (S-)Bahnstrecke und Kantstraße","",
"Simone","Italy","","7.5","Good","7 September 2014","The hotel is a short walk from Ku'Damm known street full of shops and restaurants. The metro is very close, about 200 M, with a stop you're at the zoo and go anywhere. The rooms are cleaned every day and wanting all the towels are changed as well.
Excellent value for money.","On the other hand there is the fact that the railway runs right next to the hotel, with very frequent passage of trains even if the room is well insulated.
The bathroom does not have a real door, but a glass that serves as both a shower door that leads to the bathroom, comes to about 30 cm from the ceiling, then goodbye privacy, I would say somewhat original solution.
Last thing, in the stairwell smelled really unpleasant.","","L'hotel è a due passi da Ku'Damm, nota strada piena di negozi e locali. La metro è vicinissima, 200 M circa, con una fermata sei al giardino zoologico e vai ovunque. Le stanze vengono pulite ogni giorno e volendo vengono pure cambiati tutti gli asciugamani.
Ottimo il rapporto qualità prezzo.","Di contro c'è il fatto che la ferrovia passa proprio accanto all'hotel, con passaggio di treni molto frequenti anche se la stanza è isolata bene.
Il bagno non ha una vera porta, ma un vetro che serve sia da porta della doccia che da porta del bagno, arriva a circa 30 cm dal soffitto, quindi addio privacy, soluzione direi alquanto originale.
Ultima cosa, nella tromba delle scale c'era un odore davvero sgradevole.","",
