"Name","Country","Traveler Type","Score","Score Explanation","Date","Pros","Cons","Response"
"Amira","Egypt","Solo traveller","10","Exceptional","24 July 2014","First of all very good location; quiet, you can reach the bus #200 from Corneliusbruecke stop across the street, or the #100 from another stop a few meters down the street. The Aquarium and the Zoo are a walking distance. The staff is very nice and friendly. The room is very nice; clean, spacious, and the kitchenette comes with a sink of its own and microwave and fridge (you can either get your own utensils or rent theirs for a little fee). The toilet is very clean and shower has a nice door to be closed unlike the other ones with curtains that tend to gather bacteria. There is also a hair-dryer and soaps and lotion. A flat-screen TV is there and the room has a big window that lets the sunlight come in and can be opened and tilted. The only downside was the temperature was high during my visit and there is no A/C in the room but when i called the reception they immediately provided a ventilator which helped a lot. I will definitely come again :0)","","",
"Saowanee","Germany","Solo traveller","5.8","Okay","20 July 2014","Location
Cheap","No air con
Wifi slow or cannot connect","",
"Andréa","Brazil","Group of friends","7.9","Good","15 July 2014","The hotel localization is good, in a quiet place and near Tiergarten. 
The recepcionist service is great. They are helpuful and polite.
It's easy to reach all the tourist places from there.
Great benefit-cost.","","",
"Daniël","Netherlands","Solo traveller","7.9","Good","11 July 2014","Location was excellent, so was the staff. Good service.","In the single rooms the WiFi reception is very bad, a fix would be badly
needed. Furthermore my bathroom flooded due to bad tilework.","",
"Monika","Spain","Solo traveller","7.1","Good","8 July 2014","Good price for location.","During my stay in Berlin, it was really hot (30 Celsius degrees), and there is no AC in the rooms. Also, during my visit (July 2014) there were noisy construction works on the street just in front of the hotel starting around 7AM. Sleeping in was not an option.","",
"robertosalgo","Italy","Solo traveller","7.1","Good","4 July 2014","the room was a bit small but very nice , perfect wi fi. The position of the hotel is perfect","The breakfast is too expansive.","",
"Chongwei","France","Family","9.2","Superb","4 July 2014","refrigerator, location","kitchen available but need to pay for utensils","",
"Lisa","United Kingdom","Couple","8.3","Very good","3 July 2014","Literally 5 minute walk from the gorgeous Tiergarten.
Arriving to mini bags of Haribo Gold Bears on my bed was an early highlight to our stay in Berlin!","The lift was possibly the slowest in the world (but at least they had one). 
The tiny step into the bathroom caught me offguard a couple of times!","",
"Amirmohammad","Germany","Solo traveller","7.5","Good","1 July 2014","Alles gut","Wifi funktioniert schlecht","",
"Egle","Lithuania","Couple","7.1","Good","1 July 2014","Nice location, clean room","There's no air conditioner in the room, when its summer and its
hot, there's no excuse for that. It was terrible and impossible to
sleep at night","",
"Stephanie","Malta","Group of friends","10","Exceptional","27 June 2014","Great value for money and it is very central yet quiet in the evening. Kitchenette is great and the kitchen package has everything one needs to be comfortable. Everything is within reach even U and S-Bahn stations..highly recommended","the only thing is that Wi-Fi connection was really bad..we had to either open the front door and stay next to it or go out in the corridor for internet.","",
"Carlos","Czech Republic","Couple","8.8","Fabulous","22 June 2014","It's location is the best part, and you get aome freebies like coffee.","There was no a/c and that day it was warm","",
"Leonardo","Brazil","Solo traveller","8.3","Very good","16 June 2014","Clean, comfortable room, good price and friendly staff.","Nothing.","",
"Piret","Estonia","Solo traveller","10","Exceptional","13 June 2014","Friendly stuff;
Location : X9 bus stop (Zool. garten Hbf) is near if you want to go to Tegel airport;
24h reception;
Smoke free","The bathroom floor was couple of cm-s higher than the  hallway so I hit my toe :D However, I survived. Next time I'll be more mindful.","",
"Mark","Ireland","Group of friends","8.8","Fabulous","9 June 2014","Great location, walking distance to Zoo Station for S-Bahn and U-Bahn connections, nearby the Europa Centre, the Zoo itself and Ku'dam for shopping. Loads of pubs and restaurants in the general area too if you want to stay local.
The room itself was good; good shower, comfy bed, reasonably spacious.","There was a kitchen provided in the room but cooking utensils, etc. cost extra. Suppose that makes some sense as a lot of hotels wouldn't have a kitchen to begin with.","",
"Iva","Croatia","Couple","8.3","Very good","3 June 2014","Great location in a quiet neighbourhood; 7min on foot  to U Bahn","Wireless on the top floor leaves much to be desired","",
"Svetlana","Russia","Family","7.9","Good","2 June 2014","Very good location! Birds singing in the centre of the city! Many shops and shop centers near the hotel.","Too soft bed mattress","",
"Roustem","France","Solo traveller","8.8","Fabulous","29 May 2014","Clean and good room. Nice bathroom. Very quiet, my room was to the inner yard, which was green.","Sometimes WI FI didn't work well.","",
"Catalin","Romania","Couple","4.6","Disappointing","27 May 2014","","..wifi doesn't work !","",
"Todd","Denmark","Solo traveller","8.3","Very good","22 May 2014","Hotel was nice but I was placed on the ground floor and had to go through 6 doors to get to my room.
Staff were friendly and helpful.
Location is a ways from the action","Wifi worked only after you logged in every time and in room only.
Breakfast was ok at best.  Much better options available at Bakeries and restaurants a few blocks away.","",
"Guillermo","Argentina","Couple","8.8","Fabulous","20 May 2014","Nice room to stay for a few days in Berlin","The bathroom was clean but there was some minor odor in bathroom from pipes.","",
"Lee","United Kingdom","Couple","8.8","Fabulous","20 May 2014","Clean rooms
Comfortable bed
Helpful and friendly staff","Very small reception area","",
"Simon","Netherlands","Couple","8.3","Very good","15 May 2014","parking free. The shower. The breakfast.","signs in the parking. Where is the entrance of the hotee??","",
"Erik","Ireland","Solo traveller","7.9","Good","1 May 2014","Great quiet location near Tiegarten/Zoo. Had nice weather so walked almost everywhere, including to Brandenurger Tor/Reichtag etc, but theres bikes to rent everywhere also. Free wi-fi worked grand and rooms were clean.Really good value for money. Staff friendly and helpful.","Soaps/shower gels weren't replaced after first day. Dont know if this is policy or oversight. Pillow was a bit awkard , quite big but also too soft. (minor quibbles here, slept fine)","",
"James","United Kingdom","Solo traveller","8.8","Fabulous","25 April 2014","Staff were efficient and in general friendly. Budget rooms provided all my needs with a good kitchen area including microwave and kettle.The hotel is located on a quiet street only a five minute walk from either a 100 or 200 bus stop and only a short walk to the Tiergarten or to Wittenbergplatz and KDW and the Kurfurstendamm","Wi-fi was sporadic and very frustrating at times despite a router being fixed just outside my door. The router system to the budget rooms needs to be upgraded","",
"Fred","United Kingdom","Couple","10","Exceptional","7 April 2014","Wonderful stay in the hotel. Room was small but had everything we needed and was spotlessly clean. Staff were helpful. Will definitely go back again. Location is also excellent and Berlin is amazing.","","",
"Hamed","Denmark","Solo traveller","10","Exceptional","5 April 2014","Staff Behaviour and cleaniness","","",
"Oscar","Spain","Couple","7.5","Good","1 April 2014","Nice location and a great value for money.","We stayed for 5 nights, they only cleaned three times.","",
"Natalie","Sweden","Solo traveller","7.1","Good","28 March 2014","Location","I had a lot of problems with the wifi. Very slow","",
"Kai","United Kingdom","Couple","10","Exceptional","27 March 2014","Very friendly and helpful staff. Great location with 3minutes walk to the number 200 bus that run through major tourist places. Great value for money!","The bed could be bigger.
Wall is a bit thin...","",
"Luke","United Kingdom","Couple","10","Exceptional","17 March 2014","Absolutely perfect stay! The staff were friendly and efficient: they called a taxi going to the Reichstag wwhich arrived in seconds! German efficiency in practice! The rooms are clean and comfortable-the bed is an acquired taste but the shower was a joy to use :-) The bus routes 100 and 200 were within walking distance (we never took the Metro during 5 days all bus journeys) The River Spree is at the top of the street by the bridge: Corneliusbrucke! There is a Netto 5 minutes walk away from the Spree-very cheap for water, beer, milk and bread :-) The neighbourhood is very quiet, appears safe and very few locals walking round after work! The Zoo and Tiergarten are all very close by: if the weather is nice have a walk to each-not too far and you can soak up the Berliner culture :-) I will definitely be staying here before 2014 has been and gone-the value for money is remarkable! What a find!","The bed was not particularly uncomfortable it was just different to what I am used to!
Leaving after 5 days was tragic: I want to live in Berlin!","",
"Gábor","Germany","Solo traveller","8.8","Fabulous","14 March 2014","Gute Lage, gute Ausstattung, sauber.","It is loud, people come and go all the time, and the door shuts loudly so I could not sleep till midnight.","",
"Yashaswini","India","Solo traveller","9.2","Superb","14 March 2014","Excellent location
Easy accessibility to public transport
Great places close to the hotel to eat","Wifi was really poor in the room where I stayed making me lose on 1 full day's work","",
"Ryan","Ireland","Solo traveller","9.6","Exceptional","4 March 2014","Nice hotel got everything you need, with very good value of money. 5 minutes walk to Zoo and U-Bann station.","Wifi connection was not very good, but probably just my room.","",
"Ekaterina","Russia","Solo traveller","9.6","Exceptional","18 February 2014","Extremely friendly staff, very clean rooms, excellent location, perfect price/quality correlation.","No possibility to have a dinner in the restaurant at the hotel. Wi-Fi signal was quite weak.","",
"Luna","United Kingdom","Solo traveller","7.9","Good","22 January 2014","Very new hotel!!!! Very happy stay","","",
"Ashish","Germany","Family","8.3","Very good","21 January 2014","location","Wi-Fi could have been better","",
"Renata","Australia","Solo traveller","9.6","Exceptional","20 January 2014","I liked that it had a great sized room, a desk, and a kitchenette, which is always good for a Hotel to have. The Location was good too, a short walk to the U-Bahn station","there was no english tv or satellite tv channels!","",
"Moisés","United Kingdom","Solo traveller","6.3","Pleasant","19 January 2014","The room had a small kitchen but had no crockery or cutlery and needed to be rented separately, what's the purpose then? Had a kettle also","The thing about having to pay extra for crockery and cutlery","",
"Stefan","Austria","Couple","6.7","Pleasant","4 January 2014","Clean room, free mineral water, quiet neighborhood","Breakfast selection limited if you come after 09:30, only small lift - no staircase, huge pillows, next tube station ca. 8 min walking","",
"Yana","Russia","Solo traveller","9.2","Superb","2 January 2014","the location is great! 5 min walk from shopping area at Kudam and very close to Tiergarten, Potsdamer Platz, etc. 1 min walk from bus station (number 200) that goes to Unter den Linden, Berliner Dom, etc. Very quiet at night. Comfortable bed. good staff.","The hotel totally corresponds to its 3 starts. so please do not expect a 5 star service. May be kitchen cutlery shouldn't be given to guests for a special fee. The towel were not changed every day.","",
"Ashish","Germany","Family","10","Exceptional","31 December 2013","Overall everything was fine.","WiFi could have been better","",
"Ann","Sweden","Group of friends","7.5","Good","20 December 2013","It was near the train and bus.
It was a calm area.","The breakfast price and that you have to pay for the kitchen equipment.","",
"Elena","Russia","Solo traveller","7.5","Good","18 December 2013","Very helpful staff, clean and nice hotel, wifi worked well","","",
"Amany","Egypt","Solo traveller","9.6","Exceptional","9 December 2013","Room clean, comfortable, quiet. Has facilities like, kitchen , microwave, tea kroner, free Wi-Fi, all were great .. staff very friendly and helpful. Is few min walking from the zoo, Christmas market, and Europe Shopping center.","","",
"Ozan","Turkey","Solo traveller","10","Exceptional","9 December 2013","Simplicity and functionality were the two things I was looking for and I guess I got what I wanted :)","","",
"Lucie","Belgium","Solo traveller","8.8","Fabulous","9 December 2013","My single room was perfect. Small kitchenette, comfortable bed, clean. Nice staff.","","",
"Inge","Belgium","Solo traveller","9.6","Exceptional","7 December 2013","The staff was very welcoming and obliging. The kitchenette was useful for my purposes. The bed was spacious and location quit. Near Tiergarden and Kadewe, really nice!","","",
"Ahmed","Iraq","Group of friends","7.5","Good","1 December 2013","Location","Internet","",
"Basel","Saudi Arabia","Solo traveller","8.8","Fabulous","26 November 2013","The location, though its a little bit far away from any public transportation","","",
"Sajjad","Pakistan","Solo traveller","9.6","Exceptional","25 November 2013","Comfortable room in a reasonable rent. Centrally located. Enjoyed my stay.","","",
"Laura","Italy","Group of friends","9.2","Superb","20 November 2013","The room was very clean, the bathroom is small but clean and the shower and the phon were very confortable. The hotel is near metro and bus stations that go to the city center. The staff was very kind.","Only one thing, the bed was small but ok.","",
"Ekaterina","Malta","Solo traveller","7.1","Good","16 November 2013","A small and basic hotel right in the center close to Intercontinental where we had a conference. Breakfast was good, not a great choice but you have all you need to start your day. Room was very basic but clean.","Everything was fine for the price they offer.
Soft beds.","",
"Natalia","France","Group of friends","7.5","Good","12 November 2013","I was warmly welcomed, the staff payed attention to all my demands. The room was simple, but cute.","The price was a bit higher than expected for a single room of this type.","",
"John","Malta","Solo traveller","8.3","Very good","11 November 2013","Very Friendly staff. Good location. Quiet road. Free WiFi :)","Room a little small but comfortable","",
"Patryk","Poland","Couple","9","Superb","7 November 2013","Very clean and nice hotel. Helpful and friendly staff. High quality at a low price.","","",
"Jakub","Poland","Couple","7.9","Good","5 November 2013","good value for money","","",
"Han","United Kingdom","Solo traveller","9.6","Exceptional","29 October 2013","good location, clean room, free water, and the helpful staff let me check in early","nothing","",
"Ximena","Chile","Family","6.7","Pleasant","7 October 2013","quiet neighborhood","Is far away from any metro station. The nearest bus stop is 10 min by walk
Double Room is very small for 2 people
I think is possible to find a best option for the same or lower price","",
"Dillon","U.S.A.","Solo traveller","3.8","Poor","28 September 2013","","Rude staff! As an American tourist I would not recommend this hotel to
other Americans. First, the location is a little out of the way. There
are nicer hotels much closer to the u and s bahn stations. Second, when
I had a basic issue with my room the staff were really rude about it. I
was speaking to them in English, and when I walked away they were
talking about me in German, making negative references to "American
tourists". Well I understand German, so I knew exactly what they
were saying. In a six day stay, the hotel was never able to fix the
problem with the phone in my room. Their solution was that I just use my
cell phone. Well my American cell isn't cheap in Europe.","",
"Fiona","United Kingdom","Solo traveller","10","Exceptional","17 September 2013","staff
location
comfort","no English Television options","",
"Mária","Hungary","Couple","10","Exceptional","16 September 2013","Good location, close to the center. Spacious, comfortable, clean room.","","",
"Aimen","Libya","Group of friends","6.7","Pleasant","16 September 2013","comfort with good facility and near to the city market centre.","poor breakfast buffets and the address is not like mentioned in the map,","",
"Marilena","Romania","Solo traveller","8.8","Fabulous","9 September 2013","Restaurant
Employees","No A/C
Not a very nice view from the room","",
"Anna","Belgium","Family","7.9","Good","19 August 2013","Very clean and new rooms. Good location.","Bad bed! We were rolling  out of it all night untill went to sleep on the floor. Huge pillows.","",
"Nathan","Israel","Solo traveller","7.1","Good","7 October 2014","","","",
"Shaf","Israel","Couple","9.6","Exceptional","16 March 2014","","","",
"Amanda","United Kingdom","Couple","7.1","Good","10 October 2014","","","",
"Anastasia","Russia","Solo traveller","4.2","Disappointing","28 September 2014","","","",
"Daniel","Denmark","Couple","6.3","Pleasant","26 August 2014","","","",
"Luc","Belgium","Couple","7.9","Good","21 August 2014","","","",
"Iqbal","United Kingdom","Solo traveller","8.3","Very good","6 August 2014","","","",
"Axel","Germany","Solo traveller","9.2","Superb","4 August 2014","","","",
"Albert","Spain","Couple","7.5","Good","21 July 2014","","","",
"Fabrice","Netherlands","Solo traveller","6.7","Pleasant","13 July 2014","","","",
"Kirsty","Australia","Couple","8.8","Fabulous","8 July 2014","","","",
"Dustin","U.S.A.","Couple","8.3","Very good","30 June 2014","","","",
"Lucila","Peru","Solo traveller","9.6","Exceptional","30 June 2014","","","",
"Amir","Sweden","Couple","7.1","Good","26 June 2014","","","",
"Rui","Germany","Solo traveller","7.5","Good","7 June 2014","","","",
"Wilhelm","Kenya","Solo traveller","8.3","Very good","29 May 2014","","","",
"Philomena","Ireland","Couple","6.5","Pleasant","28 May 2014","","","",
"Oleksandr","Ukraine","Couple","6.7","Pleasant","15 May 2014","","","",
"Marta","Serbia","Couple","8.3","Very good","8 May 2014","","","",
"Agnieszka","Switzerland","Family","10","Exceptional","30 April 2014","","","",
"Jane","United Arab Emirates","Solo traveller","10","Exceptional","29 April 2014","","","",
"Ivan","U.S.A.","Solo traveller","7.1","Good","25 April 2014","","","",
"Damara","U.S.A.","Couple","7.5","Good","23 April 2014","","","",
"Eddie","Singapore","Solo traveller","9.2","Superb","15 April 2014","","","",
"David","Ireland","Solo traveller","10","Exceptional","5 April 2014","","","",
"Oscar","Spain","Couple","7.1","Good","2 April 2014","","","",
"Stewart","United Kingdom","Solo traveller","7.5","Good","26 March 2014","","","",
"Sotiria","Greece","Solo traveller","8.8","Fabulous","24 March 2014","","","",
"Ekaterina","Russia","Group of friends","7.5","Good","4 March 2014","","","",
"Christine","United Kingdom","Group of friends","8.3","Very good","13 February 2014","","","",
"Adam","United Kingdom","Couple","9.2","Superb","29 January 2014","","","",
"Andrii","Ukraine","Group of friends","8.8","Fabulous","5 January 2014","","","",
"Fawzi","Lebanon","Solo traveller","7.9","Good","10 December 2013","","","",
"Liviu","Romania","Solo traveller","8.3","Very good","10 December 2013","","","",
"Christos","Cyprus","Solo traveller","9.6","Exceptional","2 December 2013","","","",
"Abel","Germany","Solo traveller","6.3","Pleasant","16 November 2013","","","",
"Robert","Netherlands","Couple","10","Exceptional","7 November 2013","","","",
"Inês","Portugal","Couple","7.5","Good","29 October 2013","","","",
"Michael","Germany","Solo traveller","6.7","Pleasant","23 September 2013","","","",
"Ewelina","Belgium","Solo traveller","6.3","Pleasant","9 September 2013","","","",
"Anonymous","Israel","Couple","7.5","Good","19 December 2013","Good location, helpful staff. Free wifi","Price didn't include breakfast, small room","",
"Anonymous","Israel","Couple","10","Exceptional","20 November 2013","what we got for the money paid
The staff
location and their flexibility for changes","","",
"Anonymous","United Kingdom","Couple","7.1","Good","7 October 2014","Nice big rooms and bathroom. It was handy to have a small kitchen. 
Good location - close to the tube station, Zoologischegarten train station and two main bus lines.","Faulty lift - nearly got stuck on the last day. 
My boyfriend's macbook could not connect to wifi.","",
"Anonymous","Belgium","Solo traveller","6.7","Pleasant","1 September 2014"," Free bottle of water at arrival
- Decent and modern room, clean & with all facilities"," wifi not great
- only one old elevator - no stairs to use","",
"Anonymous","Bulgaria","Couple","10","Exceptional","10 August 2014","Really helpful staff, great location right next to Tiergarten, clean and comfortable room - small but with everything you need","","",
"Anonymous","Australia","Couple","7.5","Good","28 July 2014","Good wifi in good location - 24hour reception were very helpful, and the overall experience was positive. Good value for money. My partner loved the shower pressure.","Pillows were consistently uncomfortable, the rooms smelled a little mouldy at times.","",
"Anonymous","Croatia","Solo traveller","9.2","Superb","6 July 2014","Excellent value for the money - clean, comfortable hotel, close to public transport (bus & underground). Kind and helpful staff, quiet neighbourhood. Would stay there again.","Strange odour in my bathroom, most probably the result of problems with plumbing. A cozy, nice terrace that does not work in the evening.","",
"Anonymous","Russia","Solo traveller","8.3","Very good","25 June 2014","Good place","","",
"Anonymous","France","Solo traveller","7.5","Good","8 June 2014","although very near to the main avenue ( Kurfurstenstrasse), the street where the hotel is located is very calm. Rooms is clean and comfortable.","breakfast option is complicated  : they have continental and German options whereas normally everything is on buffet. it does not make any sense to pay another 3 euros just for a very basic omlette choices ! 
 The staff is okey but they were abit cold and reserved in my opinion.","",
"Anonymous","Australia","Couple","7.5","Good","29 May 2014","Quiet street, not too far to underground. Had rented bikes from the hotel to ride around Berlin, was nice distance from the hotel with the zoo near there. But same bike company we saw on other spots charges half as the hotel charge us.","The double bed is too small, it's more like a big single bed.","",
"Anonymous","Denmark","Solo traveller","7.9","Good","22 May 2014","Nice rooms, even with kitchen and fridge.
Nice bathroom","Internet connection was not that reliable","",
"Anonymous","Canada","Solo traveller","8.8","Fabulous","20 May 2014","Good price. About 15-20 minutes walk from the subway.","The room I got was a bit a walking distance from the entry.
Wi-Fi reception was very bad in the room. There was only one spot in the room which had very poor reception. Elsewhere in the room there was no connectivity. Reception was good in the breakfast room.","",
"Anonymous","Germany","Solo traveller","10","Exceptional","18 May 2014","","Wifi connection worked intermittently.","",
"Anonymous","United Kingdom","Solo traveller","6.3","Pleasant","1 April 2014","Good location, 5 minutes away from the tube.","Wi if didn't work properly during my stay. It always turned on and off. The sister with login is very uncomfortable. Crockery costed 20€ per week and this fact wakes kitchenette slightly useless.","",
"Anonymous","Ireland","Solo traveller","7.9","Good","7 March 2014","Location, price","WiFi did not work 
No curtains in room on ground floor!","",
"Anonymous","Bulgaria","Group of friends","10","Exceptional","25 February 2014","Perfect place for a very good price. Five stars.","","",
"Anonymous","Belgium","Solo traveller","7.9","Good","12 February 2014","very clean and for a good price","the last day there wasn't enough breakfast (comparing to the days before). No eggs, no  But breakfast was very good on the first days.
Location is not central. And not in a trendy neighbourhood, but by metro you are real quick in other parts of Berlin. So no actual problem. But if you're looking for a trendy neighbourhood, this isn't the one you're looking for.","",
"Anonymous","Netherlands","Solo traveller","7.1","Good","17 January 2014","","In room above garage entrance the opening en closing of the garage door is disturbing.","",
"Anonymous","Australia","Solo traveller","4.6","Disappointing","5 January 2014","","First thing is first there were no pictures of the ground floor which was disappointing because it was not as nice as the images used. The doors are difficult to use and when walking down the corridors you feel like  you are in high school again. The floor felt like it has not been mopped properly.  Do not get me started on the wifi! It would be constantly logging you out and there was generally only one spot in the room where it would actually work. I was extremely disappointed with the quality and standard of the hotel and would not stay there again.","",
"Anonymous","Bulgaria","Family","8.3","Very good","28 December 2013","the receptionists were very kind and helpful the location is perfect","a bit small beds","",
"Anonymous","Norway","Solo traveller","6.3","Pleasant","10 December 2013","bottle of water for free
refrigerator","small safe
tight lift","",
"Anonymous","Switzerland","Solo traveller","9.6","Exceptional","10 November 2013","Extremely friendly and helpful staff.","","",
"Anonymous","Belgium","Solo traveller","10","Exceptional","10 October 2013","no nonsense, all necessary fascilities were available, very helpful staff. Clean and comfortable hotel.
The location was very close to the congress.","","",
"Anonymous","U.S.A.","Solo traveller","9.2","Superb","5 October 2013","Great amenities","Quiet at night
Hotel restaurant closes early","",
"Anonymous","France","Family","3.8","Poor","9 September 2013","Location","Windows are not working well. Room is very small with dirty carpet. The tiny bathroom is uncomfortable to use. Kitchenette has very old equipments and not clean. Reception girl has motionless face, yet, there is a TIP box putting in front of you.","",
"Anonymous","Israel","Couple","8.8","Fabulous","24 August 2014","","","",
"Anonymous","Austria","Couple","7.9","Good","2 September 2014","","","",
"Anonymous","Slovakia","Group of friends","5.8","Okay","21 July 2014","","","",
"Anonymous","Germany","Group of friends","9","Superb","27 June 2014","","","",
"Anonymous","Germany","Solo traveller","8.8","Fabulous","17 June 2014","","","",
"Anonymous","Romania","Couple","9.2","Superb","21 May 2014","","","",
"Anonymous","Bulgaria","Couple","7.5","Good","4 May 2014","","","",
"Anonymous","United Kingdom","Solo traveller","8.3","Very good","21 March 2014","","","",
"Anonymous","United Kingdom","Couple","7.9","Good","11 March 2014","","","",
"Anonymous","Spain","Solo traveller","8.8","Fabulous","7 March 2014","","","",
"Anonymous","United Kingdom","Solo traveller","7.9","Good","7 March 2014","","","",
"Anonymous","Denmark","Group of friends","7.1","Good","26 February 2014","","","",
"Anonymous","Spain","Solo traveller","9.2","Superb","23 February 2014","","","",
"Anonymous","United Kingdom","Solo traveller","10","Exceptional","21 February 2014","","","",
"Anonymous","Germany","Solo traveller","5.4","Passable","19 February 2014","","","",
"Anonymous","Ukraine","Couple","9.2","Superb","5 January 2014","","","",
"Anonymous","Greece","Solo traveller","8.8","Fabulous","9 December 2013","","","",
"Anonymous","Italy","Solo traveller","7.5","Good","18 November 2013","","","",
"Anonymous","Germany","Couple","5.4","Passable","2 November 2013","","","",
"Anonymous","Germany","Solo traveller","7.9","Good","22 September 2013","","","",
"Anonymous","Austria","Solo traveller","7.9","Good","2 September 2013","","","",
"Rony","Israel","Couple","9.4","Superb","25 June 2014","המיקום השרות מצוין","חדר קטן- זמינות מעלית-","",
"Dina","Israel","Family","4.6","Disappointing","22 April 2014","К достоинствам отеля можно отнести только его расположение.","За 10 дней проживания в отеле ни разу не была произведена уборка номера и смена постельного белья. Убирались мусорные пакеты и менялись полотенца. На мой взгляд, это большой минус.","",
"Luca","Italy","Solo traveller","5","Passable","11 October 2014","il receptionist notturno molto disponibile ed educato","","",
"Manuel","Spain","Solo traveller","7.5","Good","9 October 2014","ubicación
barrio tranquilo","la señal de wifi pésima, tenía que ir hasta recepción para conectarme","",
"Mayya","Russia","Couple","7.1","Good","6 October 2014","Есть мини кухня, размер комнаты","Wi fi просто ужасный! Каждый раз вводить пароль, ловит только ближе к входной двери, ни разу не убирались за 3 дня, шторы рваные и мятые, как будто их жевали!","",
"Jörg","Germany","Couple","6.7","Pleasant","5 October 2014","Der Ort wo das Hotel lag","Frühstück","",
"Maciej","Poland","Group of friends","6.7","Pleasant","1 October 2014","close to marathon start line","","",
"Bartlomiej","Poland","Couple","6.3","Pleasant","30 September 2014","","Zapach na korytarzu","",
"Gabriele","Germany","Couple","7.9","Good","28 September 2014","Lage
Sauberkeit","Die einfache Zimmerkategorie hat nur ein 1,40 m breites Bett. Für 2 Erwachsene zu klein.
Das Zimmer hatte keine Verdunkelungsvorhänge.
Relativ hellhörig.","",
"Sarah","Germany","Couple","4.6","Disappointing","28 September 2014","","Personal war nicht unbedingt freundlich, am zweiten Tag wurde das Bett nicht mehr gemacht und nur ein frisches Handtuch gebracht, obwohl alle gebrauchten mitgenommen wurden.","",
"Karl","Austria","Group of friends","8.3","Very good","23 September 2014","Alles","Zimmer eher klein dimensioniert","",
"Stephan","Austria","Solo traveller","7.9","Good","22 September 2014","Sehr nettes und aufmerksames Personal, perfekte Lage, reichhaltiges Frühstück.","Zimmer ziemlich abgewohnt.","",
"Dieter","Germany","Solo traveller","7.5","Good","19 September 2014","sauber, gutes Preis-Leistungsverhältnis, Zentrale Lage","","",
"Ivonne","Peru","Couple","5.8","Okay","17 September 2014","Buena ubicaciòn, trato agradable. Hablan español.","Les falta poner mas atenciòn a la limpieza de las tazas de baño.","",
"Rens","Netherlands","Couple","7.5","Good","16 September 2014","De flexibiliteit van het personeel. Omboeken naar andere kamer met 2 1persoons bedden. De basic kamer.
De ligging van het hotel.
Het ontbijtbuffet.","Klein 2 persoonsbed in de classic kamer.","",
"Ljudmila","Russia","Couple","7.9","Good","16 September 2014","Центр города. Тихо. Близко центр, магазины, зоопарк.","Маленький лифт.","",
"Jens","Germany","Solo traveller","7.9","Good","15 September 2014","zentrale Lage  zu Bus , S- und U -Bahn
Frühstück sehr gut
ruhige Lage in Seitenstraße","","",
"Zdravka","Bulgaria","Group of friends","9.6","Exceptional","15 September 2014","Идеално разположение в централния район, близо до всички забележителности, до транспортен възел, много удобства","","",
