"Name","Country","Traveler Type","Score","Score Explanation","Date","Pros","Cons","Response","Pros Original","Cons Original","Response Original"
"Giedrius","Lithuania","Couple","7.5","Good","6 May 2014","","","","","","",
"Mariam","Armenia","Family","8.8","Fabulous","14 March 2014","","","","","","",
"Anonymous","Israel","Group of friends","6.3","excellent location, nice staff","30 July 2014","very good breakfest,","no airconditioning, no ventilators at a very hot days","","very good breakfest,","no airconditioning, no ventilators at a very hot days","",
"Anonymous","United Kingdom","Couple","6.7","Pleasant","7 October 2014","","Booked the room for 4 nights but no wifi from second day onwards.some of the staff were very helpful though","","","Booked the room for 4 nights but no wifi from second day onwards.some of the staff were very helpful though","",
"Anonymous","Spain","Family","5","No cradle for babies","8 September 2014","Silence and good sleep","we were not very happy with the service in this hotel,
No cradle for babies
low and breaking internet connection but also no willing to help solve the problem. 
front desk staff: not helpful / minimum friendly  
other minor details: uncomfortable head pillows.","","Silence and good sleep","we were not very happy with the service in this hotel,
No cradle for babies
low and breaking internet connection but also no willing to help solve the problem. 
front desk staff: not helpful / minimum friendly  
other minor details: uncomfortable head pillows.","",
"Anonymous","Czech Republic","Couple","7.1","Good","3 September 2014","Value/money","I was disappointed with cleaning service which was not on daily basis. If you are charged for every single night the same price there should be cleaning service every single day as well, including fresh towels and so on.","","Value/money","I was disappointed with cleaning service which was not on daily basis. If you are charged for every single night the same price there should be cleaning service every single day as well, including fresh towels and so on.","",
"Anonymous","Brazil","Family","9.6","Exceptional","28 August 2014","Great location, very good breakfast","Terrible wifi","","Great location, very good breakfast","Terrible wifi","",
"Anonymous","Australia","Couple","6.3","Pleasant","9 June 2014","Great location in the nice part of town. Shops, laundry facilities,bakery & cafe all close to hotel.Nice new furniture in the rooms. Good car parking available.","The room was not cleaned between 12-2pm. One of the day receptionist was very grumpy and uncompromising. The carpets were filthy. The 3 days we were there the stair carpets were never cleaned.","","Great location in the nice part of town. Shops, laundry facilities,bakery & cafe all close to hotel.Nice new furniture in the rooms. Good car parking available.","The room was not cleaned between 12-2pm. One of the day receptionist was very grumpy and uncompromising. The carpets were filthy. The 3 days we were there the stair carpets were never cleaned.","",
"Anonymous","Finland","Family","8.8","Fabulous","27 May 2014","","no tea or coffee options in the room","","","no tea or coffee options in the room","",
"Anonymous","Poland","Couple","3.3","Poor","25 May 2014","+ localisation very near metro,
+ localisation very near to the shop.","no fridge
-no air conditioning
-no small cosmetics
-bad Room Service
-bad lift, very old and slowly
-awful bathroom
-it was cold in room, 
This hotel is too expensive for this quality!!!","","+ localisation very near metro,
+ localisation very near to the shop.","no fridge
-no air conditioning
-no small cosmetics
-bad Room Service
-bad lift, very old and slowly
-awful bathroom
-it was cold in room, 
This hotel is too expensive for this quality!!!","",
"Anonymous","Germany","Couple","8.3","Very good","23 April 2014","Great value for money. The hotel is very good and clean.","","","Great value for money. The hotel is very good and clean.","","",
"Anonymous","Slovenia","Couple","9.2","Superb","1 April 2014","location, facilites in the room, cleanliness of the room","wifi signal was poor in the evening","","location, facilites in the room, cleanliness of the room","wifi signal was poor in the evening","",
"Anonymous","Estonia","Solo traveller","7.5","Good","13 February 2014","Clean, quiet and nice hotel. Excellent wifi connection in the rooms.","","","Clean, quiet and nice hotel. Excellent wifi connection in the rooms.","","",
"Anonymous","Norway","Couple","9.2","Superb","11 October 2013","The hotel was located between to two metro stops and has nearby bus stops which makes it easy to access the city centre by public transport. The staff is friendly and has 24 hr reception. Double room with bathroom we lived in was very comfortable, secure and had all the facilities. Special mention for the room cleaning service which was done every single day during the 6 nights we stayed there. In short, coming back to the hotel after a long day in the city was pure joy. Would defenitely stay here if in Berlin again. Recommend this 100% to other travellers.","Nothing to mention. Felt it would have been better if there was provision to get mineral water or soft drinks within the hotel (didn't enquire if it was available), as all shops shut down by 7-8 pm.","","The hotel was located between to two metro stops and has nearby bus stops which makes it easy to access the city centre by public transport. The staff is friendly and has 24 hr reception. Double room with bathroom we lived in was very comfortable, secure and had all the facilities. Special mention for the room cleaning service which was done every single day during the 6 nights we stayed there. In short, coming back to the hotel after a long day in the city was pure joy. Would defenitely stay here if in Berlin again. Recommend this 100% to other travellers.","Nothing to mention. Felt it would have been better if there was provision to get mineral water or soft drinks within the hotel (didn't enquire if it was available), as all shops shut down by 7-8 pm.","",
"Anonymous","Kyrgyzstan","Couple","7.5","Good","25 February 2014","","","","","","",
"Rachel","Israel","Couple","5.8","Okay","24 June 2014","Location close to the line of blood and quiet. There are lovely restaurants nearby for a visit. The hotel is only a sleeping room, definitely cozy and spacious, though not particularly clean. Interfered with frequent disconnection from the network theme. The hotel had a computer station. Overall fine hotel.","","","המיקום קרוב לקו-דם ושקט. יש מסעדות חמודות בסביבה לארוחת בקר. המלון הוא לשינה בלבד, חדר בהחלט נעים ומרווח, אם כי לא נקי במיוחד. הפריע נושא הניתוקים התכופים מהרשת. היתה עמדת מחשב במלון. בסה״כ מלון בסדר.","","",
"Szymon","Poland","Group of friends","8.3","Very good","9 October 2014","Very tasty food.
Staff were very welcoming, friendly, eager to help. Clean, quiet.
I would recommend this hotel.","Only a few parking places paid € 16 per night. In addition to the hotel, you can park for free but there is a big problem finding a space.","","Bardzo smaczne wyżywienie.
Personel bardzo życzliwy, przyjazny, chętny pomóc. Czysto, cicho.
Polecam ten hotel.","Tylko kilka miejsc parkingowych płatnych €16 za dobę. Poza hotelem można parkować za free ale jest duży problem ze znalezieniem miejsca.","",
"Hans-peter","Germany","Solo traveller","6.3","Pleasant","5 October 2014","Quality and price, good breakfast.","","","Qualitativ und preislich gutes Frühstück.","","",
"Villu","Estonia","Couple","7.5","Good","4 October 2014","Proximity to the city center.
Convenient parking hotteli outdoors.
Ample breakfast choice.","","","Kesklinna lähedus.
Mugav parkimine hotteli õues.
Rikkalik hommikusöögivalik.","","",
"Felix","Switzerland","Couple","6.7","Sensationelles Personal","30 September 2014","The staff were great, and the breakfast.
The location of the hotel perfect.","Because of various measuring the rates were quite expensive.","","Die Angestellten waren top, sowie das Frühstück.
Die Lage des Hotels optimal.","Wegen diversen Messen waren die Zimmerpreise ziemlich teuer.","",
"Jürgen","Germany","Solo traveller","10","Klasse für ein Wochenende in Berlin","29 September 2014","The hotel is recommended for a trip to Berlin appropriate and as overnight accommodation. Reception manned at:-) The room key at any time may be issued and demands. It is impossible therefore to lose the key. ... Overall, what does, and it takes more to stay. The breakfast was very good, vielfälltig in a nice atmosphere ... Will stay there anytime again!","","","Das Hotel ist für eine Reise nach Berlin angemessen und als Übernachtungsunterkunft zu empfehlen. Rezeption ist ständig besetzt :-) Der Zimmerschlüssel kann jederzeit abgegeben und verlangt werden kann. Unmöglich ist es damit, den Schlüssel zu verlieren... . Insgesamt, was will, und braucht man mehr zum Übernachten. Das Frühstück war sehr gut, vielfälltig in schöner Atmosphäre... Werde immer wieder gerne dort übernachten!","","",
"Dipl.ing.","Austria","Solo traveller","6.3","Der Charme der Fünfzigerjahre","29 September 2014","Conveniently located, yet quiet","Despite superficial renovation shabby little","","Verkehrsgünstig, dennoch ruhig","Trotz oberflächlicher Renovierung etwas abgewohnt","",
"Herbert","Germany","Family","6.7","Günstig und gut gelegen","27 September 2014","Great location, friendly staff. Clean. Breakfast plentiful in the selection. Ground floor well designed.","Elevator closely, rooms also. Little care in painting at the apparently recent renovation","","Toplage, freundliches Personal. Sauber. Frühstück reichhaltig in der Auswahl. Erdgeschoss gut gestaltet.","Aufzug eng, Zimmer ebenfalls. Wenig Sorgfalt im Anstrich bei der offenbar kürzlich durchgeführten Renovierung","",
"Fabian","Germany","Couple","6.3","Pleasant","17 September 2014","","The bathroom is in desperate need and just not very pleasant shower. For the trip and the price it was ok, but more than to sleep not suitable. The room itself is fine, only the bathroom must act urgently.","","","Das Bad ist dringend renovierungsbedürftig und gerade die Dusche nicht sonderlich angenehm. Für den Kurztrip und den Preis war es ok, aber mehr als zum schlafen nicht geeignet. Das Zimmer selbst ist in Ordnung, nur das Bad hat dringenden Handlungsbedarf.","",
"Azhar","Sweden","Group of friends","3.8","Fick ha en trasig säng och fick prata med personalen tre dagar för att de skulle fixa.","16 September 2014","Mode
Silence
Staff","Housekeeping they failed to do that one day.
Bed wood was trassig and got talking to them for three days, each day that the lioness them.","","Läge 
Tystnad
Personalen","Städning de missade att göra det en dag.
Säng trä var trassig och fick prata med dem i tre dagar varje dag att på inna dem .","",
"Nicole","Germany","Solo traveller","7.5","Empfehlenswert","14 September 2014","Very friendly staff, clean,
Nice bed,
Quiet location","Small Room","","Sehr freundliches Personal, sauber,
Schönes Bett,
Ruhige Lage","Kleines Zimmer","",
"Jürgen","Germany","Family","8.3","Very good","9 September 2014","The staff is very friendly and helpful. Everything was clean. Breakfast was delicious. The location is great and we would come immediately.","","","Das Personal ist sehr freundlich und hilfsbereit . Es war alles sauber. Frühstück war lecker . Die Lage ist super und wir würden sofort wieder kommen.","","",
"Dieter","Germany","Couple","8.3","Preiswertes Hotel im Zentrum Berlins","6 September 2014","Very friendly staff, excellent breakfast","","","Sehr freundliches Personal, ausgezeichnetes Frühstück","","",
"Ursula","Germany","Group of friends","8.8","Super für Kurztrips oder Städtetouren","3 September 2014","Cleaner, well organized hotel!
Very nice staff!
Good breakfast for this book!
Very good coffee!","Not quite central but easy access to S + U-Bahn","","Saubereres, gut organisiertes Hotel!
Sehr nettes Personal!
Gutes Frühstück zum dazu buchen!
Sehr guter Kaffee!","Nicht ganz zentral, aber gute Anbindung an S + U-Bahnen","",
"Miroslav","Czech Republic","Couple","8.3","Very good","1 September 2014","Very close to the Kuda. Excellent location for day trips. Super evening activities. We were here for the second time, I did not last time.","From the advertised price 10euro parking, in fact, the price of 16EUR / day. ???","","Velmi blízko Kudam. Výborná poloha pro výlety. Super večerní vyžití. Byli jsme tu podruhé, myslím že ne naposled.","V nabídce inzerovali cenu parkovného 10Eur, ve skutečnosti byla cena 16Eur/den.???","",
"Daria","Poland","Solo traveller","8.8","Fabulous","29 August 2014","Great breakfast. Nearby metro station, makazinchiki and coffee. Sweet staff. Soundproofing. Bath! Near public free parking (subject to availability).","","","Отличный завтрак. Рядом станция метро, маказинчики и кофейни. Милый персонал. Звукоизоляция. Ванна! Рядом общественная бесплатная парковка (при наличии мест).","","",
"Ainhoa","Germany","Couple","5.4","Passable","27 August 2014","That is near the center","The rooms are not like the photos. Much noise in the morning ready","","Que esta cerca del centro","Las habitaciones no son como en las fotos. Mucho ruido a prontas horas de la mañana","",
"Lena","Sweden","Couple","7.5","Två dagar Berlin","26 August 2014","Location to downtown.","Difficulty with parking","","Läget till centrum.","Svårt med parkering","",
"Matteo","Italy","Couple","5.8","Distante dal centro ma qualità prezzo ottimi","25 August 2014","The very low price, wifi in the room even though the first night did not work ... The metro 200m (Adenauerplatz)
Structure is not new but clean. Great restaurants in the area (residential)","Staff a little 'hasty
X 20 minutes to arrive in the center even if the means","","Il prezzo molto basso, il wifi in camera anche se la prima sera non funzionava ... La metro a 200m(adenauerplatz)
Struttura non nuovissima ma pulita. Ristoranti ottimi nella zona(residenziale)","Personale un po' sbrigativo
20 minuti x arrivare in centro anche se con i mezzi","",
"Anastasia","Germany","Couple","8.8","Preis-Leistungs-Verhältnis stimmt!","25 August 2014","The location is very good, you are just minutes away on the Kurfürstendamm shopping mile.
The room was well-lit, and clean.","The bathroom was very small.","","Die Lage ist sehr gut, man ist in wenigen Minuten auf der  Shoppingmeile Kurfürstendamm. 
Das Zimmer war freundlich hell und sauber.","Das Badezimmer war sehr klein.","",
"Huijun","Germany","Group of friends","4.6","Disappointing","10 August 2014","","Very general, not picky, then you can live live","","","很一般，不挑剔的话可以住住","",
"Brigitte","Germany","Group of friends","9.2","Superb","10 August 2014","Location is great, the rooms are preserved in their originality and have the & quot; Berlin flair & quot ;, staff was friendly and very courteous, we would go back there anytime","","","Lage ist top, die Zimmer sind in ihrer Ursprünglichkeit erhalten und haben den "Berliner Flair", Personal war freundlich und sehr zuvorkommend, würden wir jederzeit wieder hinfahren","","",
"Jorg","Germany","Couple","7.5","Seriedad en las reservas","7 August 2014","We booked a double room online and everything went very well, very attentive and impeccable cleanliness, advisable to spend a few days","","","Reservamos una habitación doble por internet y todo salió muy bien, el personal muy atento y la limpieza impecable, recomendable para pasar unos dias","","",
"Francis","Netherlands","Couple","7.5","Good","7 August 2014","Kamer, luxe","Stuffy, no air conditioning or even a fan.","","Kamer, luxe","Benauwd, geen airco of zelfs geen ventilator.","",
"Oleg","Russia","Couple","7.1","Good","7 August 2014","Cheap and profitable","Terrible pillows. They are impossible to sleep.","","Дешево и выгодно","Ужасные подушки. На них невозможно спать.","",
"Claire","France","Couple","7.5","Good","6 August 2014","room comfort and location, ideal for exploring Berlin as close to the subway and bus","Breakfast too expensive for the quality offered. Little or no documentation on Berlin to home and personal reluctant to travel information to travelers.","","confort de la chambre et situation géographique, idéale pour découvrir Berlin car proche du métro et des bus","petit déjeuner trop cher par rapport à la qualité proposée. Pas ou peu de documentation sur Berlin à l'accueil et personnel peu disposé à donner des informations touristiques aux voyageurs.","",
"Simon","Germany","Solo traveller","10","Exceptional","20 July 2014","Vom Personal Service, Taxiservice, sauber und bequem.","","","Service vom Personal,Taxiservice,sauber und bequem.","","",
"Kurt","Denmark","Group of friends","8.8","go billig hotel","19 July 2014","Located very central good places to eat","","","ligger meget central gode madsteder","","",
"Florjan","Italy","Couple","7.5","Good","15 July 2014","Excellent position by, close to the subway .. and under the Abergo there was also the bar","","","Ottima pozizione, vicino alla metropolitana.. e sotto l'abergo c'era anche il bar","","",
"Safouan","France","Couple","6.7","Pleasant","2 July 2014","location, room comfort","reception staff very nice day ... the evening staff, but the staff cold day, not welcoming at all!","","la localisation, le confort de la chambre","l'accueil du personnel de jour...très gentil le personnel du soir, mais la journée personnel froid, pas accueillant du tout!","",
"Harald","Austria","Couple","7.1","Good","1 July 2014","price performance in order","Showers are too short (curtain) of water splashing out of the tub","","preis Leistung in Ordnung","Duschen sind zu kurz (Vorhang) Wasser spritzt aus der Wanne","",
"Christoph","Switzerland","Couple","7.5","Good","26 June 2014","Price / performance ratio fits very well.","","","Preis-/Leistungsverhältnis passt sehr gut.","","",
"Firas","Germany","Family","7.9","Good","21 June 2014","It was honest comfort.","Staff at the reception were not so nice.","","Es war ehrlich Komfort .","Angestellten bei der Rezeption waren nicht so nett.","",
"Alexander","Germany","Couple","7.9","Good","17 June 2014","Location.
About Bookings.com a great offer so get good value for good.","Shower was not 100% clean.
WiFi is not really possible on the 6th floor.
Key issue to be safer, felt too little is as controlled. Accidentally get the wrong key by an employee who has never seen us. Thus droppelt not control instead.","","Lage.
Über Bookings.com ein super Angebot erhalten somit Preis Leistung gut.","Dusche war nicht 100% sauber.
WLan im 6. Stock nicht wirklich möglich.
Schlüsselausgabe muss sicherer werden, gefühlt wird da zu wenig kontrolliert. Haben versehentlich einen falschen Schlüssel bekommen von einem Mitarbeiter der uns vorher nie gesehen hat. Somit droppelt kontrollieren statt gar nicht.","",
"Dimosthenis","Greece","Couple","6.7","Pleasant","30 May 2014","1 location close to subways and trains.
2 The area around had pubs, restaurants, markets.
3 new furniture in the room.","1 room on the 7th floor with elevator goes up to the 6th.
2 room without air conditioning","","1. τοποθεσια κοντα σε σταθμο μετρο και τραινου.
2. Η περιοχη γυρω ειχε μπυραριες, εστιατορια, μαρκετ.
3. Καινουργια επιπλα στο δωματιο.","1. δωματιο στον 7ο οροφο με το ασανσερ να πηγαινει μεχρι τον 6ο.
2. Δωματιο χωρις κλιματισμο","",
"Doris","Germany","Couple","7.9","Good","18 May 2014","Value for money super","Noise from the adjoining rooms very noisy","","Preis Leistung Verhältnis super","Geräusche aus den Nebenzimmern sehr laut","",
"Sabato","Italy","Couple","4.2","Disappointing","14 May 2014","Breakfast is plentiful and quality.","The room and 'small and oppressive with furniture and bathroom poor and old.","","La colazione, abbondante e di qualità.","La camera e' piccola e opprimente con mobili e bagno scadenti e vecchi.","",
"Alessandra","Italy","Couple","9.6","Exceptional","13 May 2014","Great location for exploring the city, staff very friendly, rooms always cleaned and tidied, quiet area.","","","Ottima posizione per visitare la città, staff veramente cortese, camere sempre riordinate e pulite, zona silenziosa.","","",
"Massimiliano","Italy","Couple","7.9","Good","13 May 2014","Perfect for a few days to visit città.metro a 5 min walk and about 30 minutes you get to clean centro.stanza good wifi.","Low beds a little 'uncomfortable as well as pillows and coperte.bagno structurally old, wc too inconvenient and impractical. Nothing unacceptable but you have to adapt for a couple of days is fine.","","Perfetto per visita di qualche giorno alla città.metro a 5 min a piedi ed in circa 30 min si arriva al centro.stanza pulita wifi buono.","Letti bassi un po' scomodi come anche i cuscini e le coperte.bagno strutturalmente vecchio,wc anche questo scomodo e poco pratico. Niente di inaccettabile ma bisogna adattarsi per un paio di gg va bene.","",
"Dirk","Germany","Couple","7.5","Good","13 May 2014","The friendliness of the staff and the accessibility by public transport are particularly hervorzuheben.Das breakfast was plentiful.","","","Die freundlichkeit des Personals und die Erreichbarkeit mit öffentlichen Verkehrsmitteln sind besonders hervorzuheben.Das Frühstück war reichlich.","","",
"Theo","Netherlands","Couple","7.5","Good","11 May 2014","","That there should be at that breakfast is not included in the price. Advance","","","Dat er vantevoren bij moet staan dat het ontbijt niet bij de prijs is inbegrepen.","",
"Patrick","Germany","Couple","7.9","Good","7 May 2014","beautifully appointed, spacious rooms; Great value for money, Quiet location.","The cleanliness of the bath (ground) could have been better;","","schön ausgestattete,geräumige Zimmer; Tolles Preis-Leistung-Verhältnis;Ruhige Lage.","Die Sauberkeit des Bades (Boden) hätte besser sein können;","",
"Melania","Poland","Couple","6.7","Pleasant","6 May 2014","Located in the beautiful district, close to the subway.","","","Lokalizacja w pięknej dzielnicy, blisko metra.","","",
"Simon","Denmark","Couple","7.5","Good","24 April 2014","Close to Ku'damm and U-bahn, good price (offer via booking.com), very fast wifi, great room, there was a bath in our room, good restaurants nearby.","The staff could be more welcoming and happy. Our toilet also ran all the time, but we just closed the water at night - they could, however, have resolved it when they checked / prepared the room, but it was as such not a problem.","","Tæt på Ku'damm og U-bahn, god pris (tilbud via booking.com), meget hurtigt wifi, godt værelse, der var badekar på vores værelse, gode restauranter i nærheden.","Personalet kunne være mere imødekommende og glade. Vores WC løb også hele tiden, men vi lukkede bare for vandet om natten - de kunne dog godt have fixet det da de tjekkede/klargjorte værelset, men det var som sådan ikke et problem.","",
"Katharina","Switzerland","Solo traveller","9.2","Superb","2 April 2014","I was very content:
nice service, quiet, clean rooms, good location.","------","","Ich war rundum sehr zufrieden:
nette Bedienung, ruhiges, sauberes Zimmer, gute Lage.","------","",
"Harald","Austria","Couple","7.9","Good","6 March 2014","very central location and the price is right","","","sehr zentrale Lage und der preis ist in Ordnung","","",
"Michael","Germany","Couple","8.3","Very good","4 March 2014","The location is great, a short walk to Kurfürstendamm.
Actually quite quiet in general ..
Parking situation is not so good, but you can rent one of the few house own parking for 8 € a day to ensure the car is then also good!
Breakfast is plentiful.
Staff is also very nice!","In my opinion, the white decor not so advantageous ...","","Die Lage ist Top, ein kurzer Fußweg zum Kurfürstendamm.
Eigentlich ganz ruhig im Allgemeinen..
Parkplatzsituation nicht so gut, man kann aber einen der wenigen Hauseigenen Parkplätze für 8€ am Tag dazu mieten, dafür steht das Auto dann aber auch gut!
Frühstück ist reichhaltig.
Personal ist auch sehr nett!","Meiner Meinung nach ist die weiße Ausstattung nicht so von Vorteil...","",
"Vira","Ukraine","Solo traveller","4.2","Disappointing","24 February 2014","location","staff terrible, asked for an iron and ironing board, so I put up a
the Reception (lived 3rd floor) and refused to raise the room had
stroke right there. pretend they do not understand Russian. asked for coffee -
denied. I made it herself, but through me it felt.
I heard the staff discussing me and says, & quot; Schwein rusish & quot;
I was in shock","","расположение","персонал ужасный, попросила утюг и гладильную доску, так мне вынесли к
ресепшин (проживала 3й этаж) и отказались поднять в номер, пришлось
гладить прямо там. делают вид что не понимают русских. попросила кофе -
отказали. я сделала его себе сама, но в счет мне его посчитали.
услышала как персонал обсуждает меня и говорит "швайне русиш"
была в шоке","",
"Herve","France","Solo traveller","7.5","Good","12 February 2014","Good overall performance.
Welcome.","","","Bonne prestation globale.
Bon accueil.","","",
"Jurgen","Belgium","Solo traveller","7.5","Good","10 February 2014","Everything is there to have a good stay","","","Alles is aanwezig om een goed verblijf te hebben","","",
"Raúl","Spain","Solo traveller","6.7","Pleasant","10 February 2014","The room,","bath and some public areas, reception","","La habitación,","el baño y algunas zonas comunes, la recepción","",
"Olga","Russia","Group of friends","8.8","Fabulous","17 December 2013","Clean, comfortable, bus 109 from Tegel to stop Adenauerplats, then walk for three minutes. Very near Netto, Lidl, Kayzer'c. Features glasses, hair dryer, enough towels. Cleaning every day.","","","Чисто, уютно, автобус 109 от Тегеля до остановки Аденауэрплац, далее пешком минуты три. Совсем рядом Нетто, Лидл, Кайзер'c. В номере стаканы, фен, достаточно полотенец. Уборка каждый день.","","",
"Claude","France","Solo traveller","10","Exceptional","8 December 2013","The central location and the quality of the hotel","Nothing","","La position centrale et la qualité de l'hôtel","Rien","",
"Ján","Slovakia","Group of friends","7.9","Good","5 November 2013","Faulty toilet immediately resolved in exchange rooms.","velmi slaby signal WiFi","","Pokazenú toaletu ihned vyriesili vymenou izby.","velmi slaby signal WiFi","",
"Eric","Switzerland","Couple","7.9","Good","25 October 2013","Beautiful room for lunch. Cleanliness throughout the hotel.","","","Belle salle pour le déjeuner. La propreté partout dans l'Hôtel.","","",
"Mauricio","Brazil","Couple","7.9","Good","14 October 2013","The tranquility of the region. slightly away from the center but close to subway stations and bus stops with easy shifting. breakfast is also very good.","","","Da tranquilidade da região. um pouco afastado do centro, mas próximo às estações de metrô e pontos de ônibus, com fácil deslocamento. o café da manhã também é muito bom.","","",
"Rene","Netherlands","Couple","7.9","Good","1 October 2013","The beds were wonderful.","Cleaning. The toilet stank of urine.","","De bedden lagen heerlijk.","Schoonmaak. Het toilet stonk naar urine.","",
"Evert","Netherlands","Couple","7.9","Good","21 September 2013","Value for money. Everything was taken care of. Everything you needed was provided and of German quality.","Dated but look neat and tidy.","","Prijs kwaliteit verhouding. Alles was goed verzorgd. Alles wat je nodig had was aanwezig en van Duitse kwaliteit.","Gedateerde uitstraling maar wel netjes en verzorgd.","",
"Елена","Russia","Solo traveller","6.3","Pleasant","10 September 2013","Location","No insulation","","Местоположение","Отсутствует шумоизоляция","",
